Unnamed: 0,Site,ID,SampleDate,Latitude,Longitude,SoilC.kg.m2,SoilN.kg.m2,Roots.kg.m2,percentC,...1,Blue,Green,Red,NIR,SWIR_1,SWIR_2,Flow,Elevation,Slope,Minimum_temperature,Maximum_temperature,peak_date
30,Big Flat,F2,2017-08-02,40.14931435,-120.4599129,14.46804084,1.088486382,9.503492846,,,51554,50203,50526,50626,22388,21855,118,1739,3.0516808043445063,292.6000061035156,305.70001220703125,2017-01-05
31,Big Flat,F4,2017-08-02,40.14893163,-120.4597987,7.049353631,0.472454035,3.265003677,,,51863,50574,50918,50952,22271,22038,118,1740,1.5269233065554562,292.6000061035156,305.70001220703125,2017-01-05
32,Big Flat,F5,2017-08-02,40.14916884,-120.4596047,10.69430278,0.794952038,8.745545564,,,51345,49911,50090,50010,20827,20468,118,1740,2.596235910882626,292.6000061035156,305.70001220703125,2017-01-05
33,Big Flat,F8,2017-08-02,40.14846073,-120.4615125,10.39102751,0.842214437,6.384248261,,,54151,52954,53448,53644,29794,28522,118,1738,3.0327025679334945,292.6000061035156,305.70001220703125,2017-01-05
34,Big Flat,F9,2017-08-02,40.14824959,-120.4617603,6.850823778,0.456503388,7.177177726,,,54476,53339,53843,53989,30841,29464,118,1737,0.9274099368729609,292.6000061035156,305.70001220703125,2017-01-05
35,Lower Clarks,LC1,2016-07-27,40.12300942,-120.5030499,9.138479577,0.714038937,3.113414221,,,42630,40324,39822,38268,13063,13894,266,1684,2.5953575968859974,285.1000061035156,304.29998779296875,2016-03-07
36,Lower Clarks,LC10,2016-07-27,40.12339767,-120.5046246,14.70904926,1.070590423,3.77224532,,,42428,44593,47778,50055,11525,11744,1,1683,3.8971916568172644,285.1000061035156,304.29998779296875,2016-11-27
37,Lower Clarks,LC12,2016-07-27,40.12289886,-120.5043605,7.147938721,0.630972635,1.784091295,,,36051,36486,38613,41339,11255,11474,1,1686,2.4244263530224344,285.1000061035156,304.29998779296875,2016-11-27
38,Lower Clarks,LC3,2016-07-27,40.12348308,-120.5033699,8.183320313,0.760528074,3.824718593,,,42608,40323,39780,38322,13068,13882,266,1684,3.6863974128709844,285.1000061035156,304.29998779296875,2016-03-07
39,Lower Clarks,LC4,2016-07-27,40.12336364,-120.5036824,9.280781858,0.667363198,1.282680016,,,42593,40307,39753,38283,13086,13902,266,1684,0.9274099368492421,285.1000061035156,304.29998779296875,2016-03-07
40,Lower Clarks,LC6,2016-07-27,40.12288084,-120.5033593,4.040703887,0.240178343,6.261810624,,,42626,40310,39750,38282,13047,13879,266,1683,2.5953575968281557,285.1000061035156,304.29998779296875,2016-03-07
41,Lower Clarks,LC7,2016-07-27,40.1230002,-120.5040419,8.78364274,0.69446457,6.704918266,,,42575,40253,39724,38230,13077,13891,266,1683,3.7497920760314445,285.1000061035156,304.29998779296875,2016-03-07
42,Lower Clarks,LC9,2016-07-27,40.12349842,-120.5043098,10.07449082,0.786080346,0.868724193,,,32623,34205,36859,40021,10786,10959,1,1684,3.0325227108704893,285.1000061035156,304.29998779296875,2016-11-27
43,Lower Dixie,LX1,2016-07-18,39.93990096,-120.338961,5.677460429,0.44984847,2.786913853,,,46939,45893,46230,45352,29450,22560,5,1792,5.5641797011374035,279.5,297.8999938964844,2016-04-24
44,Lower Dixie,LX10,2016-07-18,39.93799802,-120.33828,12.15962801,0.792538149,1.247697834,,,47866,46586,47010,46263,31281,24898,5,1802,18.88801455628958,279.5,297.8999938964844,2016-04-24
45,Lower Dixie,LX11,2016-07-18,39.93820396,-120.338482,11.3471777,0.826650801,0.215723458,,,47866,46586,47010,46263,31281,24898,5,1801,17.135889111768073,279.5,297.8999938964844,2016-04-24
46,Lower Dixie,LX12,2016-07-18,39.93839599,-120.33869,12.14995866,0.859558888,0.717134737,,,44839,43608,43646,42473,29531,23623,5,1806,19.180790641472502,279.5,297.8999938964844,2016-04-24
47,Lower Dixie,LX2,2016-07-18,39.93969301,-120.338712,7.918917532,0.559482225,3.848040048,,,46622,45749,45887,44803,29818,23016,5,1791,3.740382466036957,279.5,297.8999938964844,2016-04-24
48,Lower Dixie,LX3,2016-07-18,39.93953803,-120.338442,6.969885561,0.560948119,0.262366367,,,47178,46115,46504,45663,30062,23558,5,1794,5.168062553974208,279.5,297.8999938964844,2016-04-24
49,Lower Dixie,LX4,2016-07-18,39.93929202,-120.338708,6.186286822,0.508734285,0.483920188,,,46943,43835,44533,44048,28108,22317,5,1791,1.2095016223856059,279.5,297.8999938964844,2016-04-24
50,Lower Dixie,LX5,2016-07-18,39.93949603,-120.338936,8.91038439,0.702989997,6.314283897,,,47545,44441,45168,44873,27801,21864,5,1791,1.2095016223856059,279.5,297.8999938964844,2016-04-24
51,Lower Dixie,LX6,2016-07-18,39.93969703,-120.339184,10.16310309,0.788162928,1.428439109,,,47963,46155,46719,46012,29113,22552,5,1791,0.9274099368729609,279.5,297.8999938964844,2016-04-24
52,Lower Dixie,LX7,2016-07-18,39.93859003,-120.338434,12.8026807,0.90287312,0.606357826,,,45271,42914,43157,42205,28775,23090,5,1795,8.20332340414716,279.5,297.8999938964844,2016-04-24
53,Lower Dixie,LX8,2016-07-18,39.938355,-120.338213,14.47897647,1.037464105,0.145759093,,,46671,45905,46071,45181,31043,24629,5,1797,12.574201403560782,279.5,297.8999938964844,2016-04-24
54,Lower Dixie,LX9,2016-07-18,39.93814697,-120.338016,8.424498018,0.609520557,0.903706375,,,48442,46996,47633,46997,30899,24687,5,1795,12.046067842575296,279.5,297.8999938964844,2016-04-24
55,McReynolds,M1,2016-08-09,39.95647299,-120.496834,6.897615461,1.377460968,10.6520745,,,47695,44898,44150,41477,18200,20009,1288,1651,2.589847233010772,278.6000061035156,297.0,2016-01-28
56,McReynolds,M10,2016-08-09,39.95878103,-120.486974,23.01332402,1.67613551,3.56818259,,,44324,42654,42922,41829,26044,20396,1268,1656,2.2136481839216486,278.3999938964844,297.6000061035156,2016-04-24
57,McReynolds,M11,2016-08-09,39.95906099,-120.48712,17.62138323,1.406933689,4.640969512,,,44258,42101,42537,41630,26219,20864,1268,1655,1.5242426810835141,278.3999938964844,297.6000061035156,2016-04-24
58,McReynolds,M4,2016-08-09,39.95659696,-120.496731,4.355089526,0.438689232,3.988009217,,,47443,44758,43928,41211,18152,19952,1288,1652,2.2136267337094866,278.6000061035156,297.0,2016-01-28
59,McReynolds,M5,2016-08-09,39.96023596,-120.488891,5.024347546,0.563543135,2.320484756,,,42540,40079,39536,37915,14009,14836,1274,1657,3.68260132404817,278.3999938964844,297.6000061035156,2016-03-07
60,McReynolds,M7,2016-08-09,39.960616,-120.488743,13.54147056,1.20844892,4.920826971,,,42545,40111,39566,37975,14076,14898,1274,1655,0.9274099368492421,278.3999938964844,297.6000061035156,2016-03-07
61,McReynolds,M9,2016-08-09,39.95863896,-120.487278,15.05175886,1.265052277,10.29642231,,,44145,42281,42536,41499,26364,20764,1268,1655,1.5242387826907728,278.3999938964844,297.6000061035156,2016-04-24
62,Poco,P1,2016-07-07,39.96934005,-120.5231581,7.664053632,0.533243208,4.186201143,,,44482,41197,40635,38335,17373,18841,1385,1644,1.5243830629984103,279.1000061035156,297.0,2016-01-28
63,Poco,P10,2016-07-07,39.97230976,-120.5282042,6.450532828,0.499849084,1.008652921,,,39470,37125,36543,35369,13483,14250,1394,1643,4.420963787592073,279.1000061035156,297.0,2016-03-07
64,Poco,P11,2016-07-07,39.97209133,-120.5279566,4.554110268,0.34216377,1.684975112,,,39373,37111,36541,35305,13512,14247,1394,1644,3.0466889506872543,279.1000061035156,297.0,2016-03-07
65,Poco,P3,2016-07-07,39.96953015,-120.5237733,7.998668129,0.524859582,0.874554556,,,42600,40488,39640,37245,17467,18870,1385,1643,2.2137501118017124,279.1000061035156,297.0,2016-01-28
66,Poco,P5,2016-07-07,39.96969561,-120.5233141,6.941850828,0.517813565,6.564989537,,,43333,40384,39756,37498,17172,18590,1385,1647,1.5243908642837827,279.1000061035156,297.0,2016-01-28
67,Poco,P6,2016-07-07,39.96957659,-120.5230065,6.022418827,0.589221451,8.197491375,,,41386,41276,42376,37894,8197,8489,1385,1645,4.9167946515239755,279.1000061035156,297.0,2016-01-12
68,Poco,P7,2016-07-07,39.97169059,-120.5279623,3.843319514,0.370864951,2.565360032,,,39393,37110,36518,35319,13463,14185,1394,1644,3.7420182020618573,279.1000061035156,297.0,2016-03-07
69,Poco,P9,2016-07-07,39.97208613,-120.5284366,6.654946254,0.585012565,2.01147548,,,39417,37141,36598,35385,13525,14264,1394,1646,3.046688950638249,279.1000061035156,297.0,2016-03-07
70,Upper Clarks,UC1,2016-08-04,40.12896904,-120.503472,11.25044291,0.823254369,6.634953901,,,42884,40576,40078,38536,13220,14052,265,1685,2.595570130819452,281.70001220703125,302.29998779296875,2016-03-07
71,Upper Clarks,UC10,2016-08-04,40.13574597,-120.508032,12.09169661,0.956426421,10.79783359,,,42714,40415,39899,38415,13242,14090,253,1696,0.9274099368611016,284.29998779296875,301.79998779296875,2016-03-07
72,Upper Clarks,UC11,2016-08-04,40.135764,-120.508365,11.82362349,1.034946079,11.31673596,,,42694,40408,39894,38411,13255,14105,253,1696,2.2153654267652225,284.29998779296875,301.79998779296875,2016-03-07
73,Upper Clarks,UC4,2016-08-04,40.12885303,-120.503759,7.156007254,0.702811883,4.955809153,,,42819,40459,39963,38463,13153,13986,265,1686,4.423991701825026,281.70001220703125,302.29998779296875,2016-03-07
74,Upper Clarks,UC6,2016-08-04,40.13476001,-120.506502,10.69491919,0.804331356,7.771874824,,,41484,41284,42154,39687,9055,9828,253,1699,5.874377502975006,284.29998779296875,301.79998779296875,2016-02-20
75,Upper Clarks,UC7,2016-08-04,40.13472598,-120.506871,7.475499641,0.549624059,9.246956843,,,42767,40487,39977,38480,13205,14075,253,1695,2.2153545861140644,284.29998779296875,301.79998779296875,2016-03-07
76,Upper Clarks,UC9,2016-08-04,40.13546803,-120.508009,9.703267072,0.824023055,2.833556763,,,42755,40431,39920,38442,13287,14095,253,1696,2.424881618726997,284.29998779296875,301.79998779296875,2016-03-07
77,Dixie,X1,2016-07-18,39.93496503,-120.333205,7.765580811,0.481508343,6.099675371,,,38613,37035,36297,35152,16465,17634,113,1802,6.074193799212688,279.5,297.8999938964844,2016-01-28
78,Dixie,X10,2016-07-18,39.93350197,-120.332292,9.552680471,0.698334103,1.422608745,,,44268,44269,45864,44057,12463,13036,113,1805,4.563047764319021,279.5,297.8999938964844,2016-11-27
79,Dixie,X11,2016-07-18,39.93341303,-120.332613,9.507988668,0.674649691,1.591689293,,,38401,38184,39691,42213,11799,12105,113,1807,9.966921247169617,279.5,297.8999938964844,2016-11-27
80,Dixie,X12,2016-07-18,39.93366198,-120.332703,10.98886816,0.719009193,2.198047118,,,39380,40155,41759,42307,11740,12219,113,1811,12.74009698781156,279.5,297.8999938964844,2016-11-27
81,Dixie,X2,2016-07-18,39.93470997,-120.333044,13.01429473,0.832611145,3.581439405,,,36044,33814,35825,37212,11223,11462,113,1804,4.563105830556814,279.5,297.8999938964844,2016-11-27
82,Dixie,X3,2016-07-18,39.93454602,-120.333458,10.72550007,0.714785045,1.820258856,,,34356,34106,34543,36501,10781,11297,9,1805,4.826919823214834,279.5,297.8999938964844,2016-11-27
83,Dixie,X4,2016-07-18,39.934845,-120.333505,13.21825736,0.822797559,1.711766606,,,45050,43639,46612,45630,12369,12755,9,1809,10.909508424081054,279.5,297.8999938964844,2016-11-27
84,Dixie,X5,2016-07-18,39.93482203,-120.332041,9.975618668,0.607486326,1.877377115,,,46250,46705,48340,46285,12522,13274,113,1805,3.0456467251901325,279.5,297.8999938964844,2016-11-27
85,Dixie,X6,2016-07-18,39.93461601,-120.331804,14.09974835,1.084413876,2.040627299,,,46977,45553,47460,46016,12667,13255,113,1805,2.4177497990586665,279.5,297.8999938964844,2016-11-27
86,Dixie,X7,2016-07-18,39.93445599,-120.33211,15.31019986,0.980828418,5.474711523,,,44976,44334,45887,44878,12412,13021,113,1806,1.854334168853263,279.5,297.8999938964844,2016-11-27
87,Dixie,X8,2016-07-18,39.934672,-120.332337,20.02309396,1.405231428,2.752441827,,,42604,40911,40990,39540,11578,11777,113,1804,4.420243254942649,279.5,297.8999938964844,2016-02-04
88,Dixie,X9,2016-07-18,39.93374697,-120.332374,10.84734058,0.736746583,4.046272414,,,40967,41413,42441,41412,11878,12481,113,1804,0.0,279.5,297.8999938964844,2016-11-27
89,Coyote,Y1,2016-07-08,40.110052,-120.4172487,8.305925057,0.564858338,1.148581651,,,45426,43082,42327,39978,17630,18820,1009,1703,2.215113569378835,282.79998779296875,296.6000061035156,2016-01-28
90,Coyote,Y10,2016-07-08,40.11158656,-120.4194028,14.28796483,0.960706337,1.387626562,,,45232,42403,41763,39623,17080,18324,1009,1703,2.7802885155287553,282.79998779296875,296.6000061035156,2016-01-28
91,Coyote,Y12,2016-07-08,40.11144239,-120.41871,8.812512678,0.638887621,4.209522598,,,45179,42732,41891,39594,17545,18753,1009,1702,0.0,282.79998779296875,296.6000061035156,2016-01-28
92,Coyote,Y3,2016-07-08,40.11012996,-120.4179603,9.257846305,0.683473766,0.198232366,,,45609,42946,42269,39991,17635,18726,1009,1704,0.0,282.79998779296875,296.6000061035156,2016-01-28
93,Coyote,Y4,2016-07-08,40.11039759,-120.4178613,11.00853475,0.769514109,0.437277278,,,45694,43137,42364,40077,17713,18861,1009,1704,1.5263762677835828,282.79998779296875,296.6000061035156,2016-01-28
