ID,Area_m2,Area_km2,NDVI,NDWI
6.0,25458.447,0.02546,0.16573040028469155,0.10857233415802262
13.0,35012.704,0.03501,0.19068213546650783,0.08078962489228798
15.0,14311.618,0.01431,0.1874906803270739,0.05581219332331476
17.0,52334.183,0.05233,0.1958186856686155,0.1062217249151887
18.0,9083.705,0.00908,0.18230293199753403,0.11920818772317705
24.0,479933.213,0.47993,0.1826770372693046,0.06755921835328259
29.0,149498.323,0.1495,0.1866737500083525,
30.0,255277.358,0.25528,0.1482427673058788,0.047571241131176493
46.0,5943.612,0.00594,0.19861266095976532,0.07449631809279429
51.0,430218.407,0.43022,0.15621925323345437,0.05237394601922785
53.0,100101.703,0.1001,0.19210346144052462,0.07826302343855421
54.0,697539.279,0.69754,,
55.0,41040.543,0.04104,0.1752925620969464,0.03157988468552053
57.0,9069.125,0.00907,0.1676834668574003,0.026612227334476688
58.0,50877.964,0.05088,0.1098136362020777,
59.0,29316.075,0.02932,0.17522704138936415,0.07406600629531776
61.0,52399.602,0.0524,0.16684851368436193,0.10024395633311196
64.0,6380.514,0.00638,0.19165581689497485,0.07929346834390998
65.0,12996.923,0.013,0.17448835454118022,0.07393953442087133
66.0,22463.708,0.02246,0.11330851850355675,
72.0,25606.824,0.02561,0.17732300606033397,0.038586611508101026
75.0,46453.973,0.04645,0.1827388889887361,0.04715642845957927
76.0,14590.432,0.01459,0.14053052408873573,0.0039341481347804335
83.0,11648.891,0.01165,0.16127733912540243,0.04601681753112647
85.0,12471.006,0.01247,0.14677159160484354,0.04034404647958897
89.0,10366.757,0.01037,0.1568221147526214,0.024273407722372593
90.0,3988.785,0.00399,0.1873581034032571,0.11248928385263607
91.0,7073.419,0.00707,0.12532593174042214,
92.0,38044.154,0.03804,0.11686387780236168,
93.0,33117.885,0.03312,0.14326640633621043,0.04368468331516844
94.0,5144.315,0.00514,0.1533230979496684,0.04663907730531826
95.0,47936.17,0.04794,0.12378956360868913,
96.0,6496.985,0.0065,0.19558151036933535,0.08072379527326172
97.0,36901.896,0.0369,0.1643779261548477,0.06260397828794108
98.0,34716.1,0.03472,0.16175405342844973,0.06046118053242761
99.0,97222.67,0.09722,0.17935572005808528,0.09280335866089998
100.0,41030.397,0.04103,0.1217305884142442,0.022012708320359266
101.0,6661.465,0.00666,0.10128796416744162,
102.0,18570.984,0.01857,0.0962973378324163,
103.0,1788.465,0.00179,0.09526657532975656,
104.0,4320.078,0.00432,0.1415633862164474,0.004703523787493253
105.0,9365.528,0.00937,0.17084567047364635,0.061322323352255154
127.0,23135.892,0.02314,0.1997245745941562,0.01903210825255459
128.0,17534.783,0.01753,0.19201477095941888,0.03236668205528229
140.0,1765574.08,1.76557,,
142.0,4443.465,0.00444,0.18372906030675373,0.07249783081829536
145.0,6933.835,0.00693,0.1831671791731493,0.0782078620568334
151.0,45922.138,0.04592,0.19882152269459688,0.05543446064537168
162.0,11734.15,0.01173,0.17695034536585008,0.019117180026966236
163.0,5270.868,0.00527,0.17968960369793824,0.011412542950333589
164.0,4716.951,0.00472,0.14953841865623313,
166.0,30840.866,0.03084,0.15153823759204696,0.014744665904640205
167.0,2239.57,0.00224,0.11623784091188875,0.0054997526039962516
169.0,162490.922,0.16249,0.12289022444846857,0.04645585213478966
170.0,82956.25,0.08296,0.16864796566568466,0.024591067372790532
171.0,92013.121,0.09201,,
174.0,55408.853,0.05541,0.199919006920361,0.048076897304275536
179.0,222873.037,0.22287,0.10575780013435994,0.036188731373014746
180.0,155930.837,0.15593,0.02037025888957547,0.12896889882993598
181.0,114759.783,0.11476,0.1507179616297574,0.030148353297963584
183.0,150158.9,0.15016,0.12922813688498394,
185.0,142513.926,0.14251,0.15817631171676058,0.011250423912143499
186.0,142189.188,0.14219,0.11339379212040672,0.01393578047554055
188.0,28106.024,0.02811,0.13288405397255573,0.015521719497773484
189.0,4757.177,0.00476,0.1411399426433973,
190.0,10546.07,0.01055,0.17292325419201604,0.007469099081234715
191.0,98635.657,0.09864,0.11034510222331352,
192.0,38687.402,0.03869,0.1320531579556738,0.04872460457882055
194.0,165204.368,0.1652,0.07959901360043212,0.04870707205792831
195.0,28699.485,0.0287,0.14625224188928665,0.025179090715653593
196.0,18399.223,0.0184,0.1610910705465087,
197.0,116177.371,0.11618,0.16447833849211516,0.03445156730452639
200.0,156285.226,0.15629,0.16651029921726498,0.047088603105299824
201.0,118711.852,0.11871,0.1332000018608821,0.004962519055109335
202.0,41674.711,0.04167,0.13217542492500048,
203.0,139104.003,0.1391,0.12938326169199782,0.0033674709251865997
204.0,25218.415,0.02522,0.14314153113302178,0.014595018394547977
205.0,62943.849,0.06294,0.1382215563964275,0.006076034947076376
206.0,28371.711,0.02837,0.17419061045832226,0.007589332263715967
208.0,1723.239,0.00172,0.15748005516621522,
209.0,5067.37,0.00507,0.1608839570581714,
210.0,100186.363,0.10019,0.1590996465932033,0.01616039629566182
211.0,86960.931,0.08696,0.16173244695960606,0.029006225540596058
212.0,18884.175,0.01888,0.17619518070860615,0.02550432602270599
213.0,11989.961,0.01199,0.1550555695549197,0.03135875728657101
214.0,5662.114,0.00566,0.14824170489638952,0.009357879334399565
215.0,5227.524,0.00523,0.16986635583633242,0.03762936496022074
216.0,6931.83,0.00693,0.15381914865151727,0.008479004091354613
217.0,15306.7,0.01531,0.1454912941416015,
218.0,6917.434,0.00692,0.1423362735631149,
219.0,11724.081,0.01172,0.17508436619540604,0.012992704693416455
220.0,2769.666,0.00277,0.1836635608725707,0.029890249497123902
221.0,67762.892,0.06776,0.16475838573771662,0.018550982456514993
222.0,6166.421,0.00617,0.1633778817433491,0.0040104271104872665
223.0,22036.242,0.02204,0.14746804721893375,
224.0,13095.006,0.0131,0.13211958754009853,0.03657791101050221
225.0,68639.872,0.06864,0.11988728198500445,0.0066309999246477284
226.0,5918.429,0.00592,0.1229688582850631,
227.0,3869.885,0.00387,0.14156059895360681,0.004477064220183486
228.0,7995.612,0.008,0.14573952567990878,
229.0,60559.71,0.06056,0.16373143054653516,0.01568843375165363
230.0,17063.144,0.01706,0.1239904792972638,0.06747841163790155
250.0,17498.196,0.0175,0.15125724825489578,0.008483633934535738
252.0,23781.704,0.02378,0.19372963675576962,0.05457435184364246
256.0,76110.177,0.07611,0.1927188874555088,0.059202964852613046
259.0,93105.892,0.09311,0.1885822255645624,0.06952825355180647
260.0,86294.027,0.08629,0.16463208281608155,0.03236969361035712
261.0,53955.733,0.05396,0.14820768955933672,0.04092333758015154
274.0,14402.736,0.0144,0.16232350479050478,0.033402378594255884
290.0,12174.366,0.01217,0.1555534656880379,0.01894575659125433
293.0,13896.333,0.0139,0.16170500329609275,
337.0,13698.493,0.0137,0.18275048685616968,0.017499631121640002
340.0,17815.682,0.01782,0.17027157599408968,0.08680317304785959
367.0,10902.722,0.0109,0.18038452747367675,0.11099908655511012
385.0,35514.607,0.03551,0.18907270801172768,0.04578328779572648
389.0,8772.122,0.00877,0.16759283354485777,0.029800280075449766
394.0,27136.525,0.02714,0.19781111236196688,0.019808749156285884
402.0,5163.241,0.00516,0.17150329965038083,0.024871296060670872
429.0,6475.772,0.00648,0.13906611696411994,0.008510489265576297
436.0,7871.47,0.00787,0.18432974699028534,0.029173629793112364
439.0,28049.492,0.02805,0.196978399878863,0.03779229440837018
445.0,44199.264,0.0442,0.16828025312057251,0.036843970586232046
491.0,8701.757,0.0087,0.17193973866970028,0.00723085163363685
509.0,46578.166,0.04658,0.12469016138218622,0.01853204258828937
510.0,21724.668,0.02172,0.18988310940448358,0.015610262783820687
511.0,4389.429,0.00439,0.17006854706913613,0.023285269734100403
513.0,6543.737,0.00654,0.19876722676191214,0.06793557732171875
514.0,19218.843,0.01922,0.19873063386508583,0.04651848591146088
518.0,49597.307,0.0496,0.19385252841470993,0.05812333201054994
