Site,ID,Latitude,Longitude,SampleDate,SoilC.kg.m2,SoilN.kg.m2,Roots.kg.m2,RootC.kg.m2
McReynolds,M1,39.95647299,-120.496834,8/9/16,6.897615461,1.377460968,10.6520745,3.90931134
McReynolds,M10,39.95878103,-120.486974,8/9/16,23.01332402,1.67613551,3.56818259,1.309523011
McReynolds,M11,39.95906099,-120.48712,8/9/16,17.62138323,1.406933689,4.640969512,1.703235811
McReynolds,M12,39.95888002,-120.487443,8/9/16,NA,NA,NA,NA
McReynolds,M3,39.95647903,-120.496402,8/9/16,NA,NA,NA,NA
McReynolds,M4,39.95659696,-120.496731,8/9/16,4.355089526,0.438689232,3.988009217,1.463599383
McReynolds,M5,39.96023596,-120.488891,8/9/16,5.024347546,0.563543135,2.320484756,0.851617905
McReynolds,M7,39.960616,-120.488743,8/9/16,13.54147056,1.20844892,4.920826971,1.805943498
McReynolds,M8,39.96043101,-120.489059,8/9/16,NA,NA,NA,NA
McReynolds,M9,39.95863896,-120.487278,8/9/16,15.05175886,1.265052277,10.29642231,3.778786988
Poco,P1,39.96934005,-120.5231581,7/7/16,7.664053632,0.533243208,4.186201143,1.536335819
Poco,P10,39.97230976,-120.5282042,7/7/16,6.450532828,0.499849084,1.008652921,0.370175622
Poco,P11,39.97209133,-120.5279566,7/7/16,4.554110268,0.34216377,1.684975112,0.618385866
Poco,P2,39.9694351,-120.5234843,7/7/16,NA,NA,NA,NA
Poco,P3,39.96953015,-120.5237733,7/7/16,7.998668129,0.524859582,0.874554556,0.320961522
Poco,P4,39.96977356,-120.5236449,7/7/16,NA,NA,NA,NA
Poco,P5,39.96969561,-120.5233141,7/7/16,6.941850828,0.517813565,6.564989537,2.40935116
Poco,P6,39.96957659,-120.5230065,7/7/16,6.022418827,0.589221451,8.197491375,3.008479335
Poco,P7,39.97169059,-120.5279623,7/7/16,3.843319514,0.370864951,2.565360032,0.941487132
Poco,P9,39.97208613,-120.5284366,7/7/16,6.654946254,0.585012565,2.01147548,0.738211501
Upper Clarks,UC1,40.12896904,-120.503472,8/4/16,11.25044291,0.823254369,6.634953901,2.435028082
Upper Clarks,UC10,40.13574597,-120.508032,8/4/16,12.09169661,0.956426421,10.79783359,3.962804926
Upper Clarks,UC11,40.135764,-120.508365,8/4/16,11.82362349,1.034946079,11.31673596,4.153242097
Upper Clarks,UC12,40.13547499,-120.508348,8/4/16,NA,NA,NA,NA
Upper Clarks,UC2,40.12923097,-120.50364,8/4/16,NA,NA,NA,NA
Upper Clarks,UC4,40.12885303,-120.503759,8/4/16,7.156007254,0.702811883,4.955809153,1.818781959
Upper Clarks,UC6,40.13476001,-120.506502,8/4/16,10.69491919,0.804331356,7.771874824,2.85227806
Upper Clarks,UC7,40.13472598,-120.506871,8/4/16,7.475499641,0.549624059,9.246956843,3.393633161
Upper Clarks,UC8,40.134442,-120.506847,8/4/16,NA,NA,NA,NA
Upper Clarks,UC9,40.13546803,-120.508009,8/4/16,9.703267072,0.824023055,2.833556763,1.039915332
Dixie,X1,39.93496503,-120.333205,7/18/16,7.765580811,0.481508343,6.099675371,2.238580861
Dixie,X10,39.93350197,-120.332292,7/18/16,9.552680471,0.698334103,1.422608745,0.522097409
Dixie,X11,39.93341303,-120.332613,7/18/16,9.507988668,0.674649691,1.591689293,0.584149971
Dixie,X12,39.93366198,-120.332703,7/18/16,10.98886816,0.719009193,2.198047118,0.806683292
Dixie,X2,39.93470997,-120.333044,7/18/16,13.01429473,0.832611145,3.581439405,1.314388262
Dixie,X3,39.93454602,-120.333458,7/18/16,10.72550007,0.714785045,1.820258856,0.668035
Dixie,X4,39.934845,-120.333505,7/18/16,13.21825736,0.822797559,1.711766606,0.628218344
Dixie,X5,39.93482203,-120.332041,7/18/16,9.975618668,0.607486326,1.877377115,0.688997401
Dixie,X6,39.93461601,-120.331804,7/18/16,14.09974835,1.084413876,2.040627299,0.748910219
Dixie,X7,39.93445599,-120.33211,7/18/16,15.31019986,0.980828418,5.474711523,2.009219129
Dixie,X8,39.934672,-120.332337,7/18/16,20.02309396,1.405231428,2.752441827,1.010146151
Dixie,X9,39.93374697,-120.332374,7/18/16,10.84734058,0.736746583,4.046272414,1.484981976
Coyote,Y1,40.110052,-120.4172487,7/8/16,8.305925057,0.564858338,1.148581651,0.421529466
Coyote,Y10,40.11158656,-120.4194028,7/8/16,14.28796483,0.960706337,1.387626562,0.509258948
Coyote,Y12,40.11144239,-120.41871,7/8/16,8.812512678,0.638887621,4.209522598,1.544894793
Coyote,Y2,40.11010582,-120.4176001,7/8/16,NA,NA,NA,NA
Coyote,Y3,40.11012996,-120.4179603,7/8/16,9.257846305,0.683473766,0.198232366,0.072751278
Coyote,Y4,40.11039759,-120.4178613,7/8/16,11.00853475,0.769514109,0.437277278,0.160480761
Coyote,Y6,40.11030765,-120.4171755,7/8/16,8.821579661,0.628496516,0.256536003,0.094148713
Coyote,Y7,40.11120024,-120.4188502,7/8/16,7.815537735,0.562677568,0.227384185,0.083449996
Coyote,Y8,40.11126839,-120.4192016,7/8/16,NA,NA,NA,NA
Coyote,Y9,40.1113419,-120.4195474,7/8/16,9.613114377,0.695717844,0.40812546,0.149782044
