Site,ID,SampleDate,Latitude,Longitude,SoilC.kg.m2,SoilN.kg.m2,Roots.kg.m2,percentC
McReynolds,M11,8/9/2016,39.95906099,-120.48712,17.62138323,1.406933689,4.640969512,NA
McReynolds,M12,8/9/2016,39.95888002,-120.487443,NA,NA,NA,NA
McReynolds,M3,8/9/2016,39.95647903,-120.496402,NA,NA,NA,NA
McReynolds,M4,8/9/2016,39.95659696,-120.496731,4.355089526,0.438689232,3.988009217,NA
McReynolds,M5,8/9/2016,39.96023596,-120.488891,5.024347546,0.563543135,2.320484756,NA
McReynolds,M7,8/9/2016,39.960616,-120.488743,13.54147056,1.20844892,4.920826971,NA
McReynolds,M8,8/9/2016,39.96043101,-120.489059,NA,NA,NA,NA
McReynolds,M9,8/9/2016,39.95863896,-120.487278,15.05175886,1.265052277,10.29642231,NA
Poco,P1,7/7/2016,39.96934005,-120.5231581,7.664053632,0.533243208,4.186201143,NA
Poco,P10,7/7/2016,39.97230976,-120.5282042,6.450532828,0.499849084,1.008652921,NA
Poco,P11,7/7/2016,39.97209133,-120.5279566,4.554110268,0.34216377,1.684975112,NA
Poco,P2,7/7/2016,39.9694351,-120.5234843,NA,NA,NA,NA
Poco,P3,7/7/2016,39.96953015,-120.5237733,7.998668129,0.524859582,0.874554556,NA
Poco,P4,7/7/2016,39.96977356,-120.5236449,NA,NA,NA,NA
Poco,P5,7/7/2016,39.96969561,-120.5233141,6.941850828,0.517813565,6.564989537,NA
Poco,P6,7/7/2016,39.96957659,-120.5230065,6.022418827,0.589221451,8.197491375,NA
Poco,P7,7/7/2016,39.97169059,-120.5279623,3.843319514,0.370864951,2.565360032,NA
Poco,P9,7/7/2016,39.97208613,-120.5284366,6.654946254,0.585012565,2.01147548,NA
Upper Clarks,UC1,8/4/2016,40.12896904,-120.503472,11.25044291,0.823254369,6.634953901,NA
Upper Clarks,UC10,8/4/2016,40.13574597,-120.508032,12.09169661,0.956426421,10.79783359,NA
Upper Clarks,UC11,8/4/2016,40.135764,-120.508365,11.82362349,1.034946079,11.31673596,NA
Upper Clarks,UC12,8/4/2016,40.13547499,-120.508348,NA,NA,NA,NA
Upper Clarks,UC2,8/4/2016,40.12923097,-120.50364,NA,NA,NA,NA
Upper Clarks,UC4,8/4/2016,40.12885303,-120.503759,7.156007254,0.702811883,4.955809153,NA
Upper Clarks,UC6,8/4/2016,40.13476001,-120.506502,10.69491919,0.804331356,7.771874824,NA
Upper Clarks,UC7,8/4/2016,40.13472598,-120.506871,7.475499641,0.549624059,9.246956843,NA
Upper Clarks,UC8,8/4/2016,40.134442,-120.506847,NA,NA,NA,NA
Upper Clarks,UC9,8/4/2016,40.13546803,-120.508009,9.703267072,0.824023055,2.833556763,NA
Dixie,X1,7/18/2016,39.93496503,-120.333205,7.765580811,0.481508343,6.099675371,NA
Dixie,X10,7/18/2016,39.93350197,-120.332292,9.552680471,0.698334103,1.422608745,NA
Dixie,X11,7/18/2016,39.93341303,-120.332613,9.507988668,0.674649691,1.591689293,NA
Dixie,X12,7/18/2016,39.93366198,-120.332703,10.98886816,0.719009193,2.198047118,NA
Dixie,X2,7/18/2016,39.93470997,-120.333044,13.01429473,0.832611145,3.581439405,NA
Dixie,X3,7/18/2016,39.93454602,-120.333458,10.72550007,0.714785045,1.820258856,NA
Dixie,X4,7/18/2016,39.934845,-120.333505,13.21825736,0.822797559,1.711766606,NA
Dixie,X5,7/18/2016,39.93482203,-120.332041,9.975618668,0.607486326,1.877377115,NA
Dixie,X6,7/18/2016,39.93461601,-120.331804,14.09974835,1.084413876,2.040627299,NA
Dixie,X7,7/18/2016,39.93445599,-120.33211,15.31019986,0.980828418,5.474711523,NA
Dixie,X8,7/18/2016,39.934672,-120.332337,20.02309396,1.405231428,2.752441827,NA
Dixie,X9,7/18/2016,39.93374697,-120.332374,10.84734058,0.736746583,4.046272414,NA
Coyote,Y1,7/8/2016,40.110052,-120.4172487,8.305925057,0.564858338,1.148581651,NA
Coyote,Y10,7/8/2016,40.11158656,-120.4194028,14.28796483,0.960706337,1.387626562,NA
Coyote,Y12,7/8/2016,40.11144239,-120.41871,8.812512678,0.638887621,4.209522598,NA
Coyote,Y2,7/8/2016,40.11010582,-120.4176001,NA,NA,NA,NA
Coyote,Y3,7/8/2016,40.11012996,-120.4179603,9.257846305,0.683473766,0.198232366,NA
Coyote,Y4,7/8/2016,40.11039759,-120.4178613,11.00853475,0.769514109,0.437277278,NA
Coyote,Y6,7/8/2016,40.11030765,-120.4171755,8.821579661,0.628496516,0.256536003,NA
