Thu Dec 21 11:36:55 2023    profile_results.prof

         565549 function calls (546044 primitive calls) in 24.293 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      883    0.001    0.000   13.953    0.016 {method 'readline' of '_io.BufferedReader' objects}
       30    0.001    0.000    0.002    0.000 client.py:207(_read_headers)
      330    0.001    0.000    0.002    0.000 queue.py:122(put)
     1290    0.001    0.000    0.001    0.000 structures.py:53(__getitem__)
   204/68    0.001    0.000    0.005    0.000 copy.py:226(_deepcopy_dict)
       30    0.001    0.000   24.001    0.800 sessions.py:626(send)
       20    0.001    0.000    0.001    0.000 {pandas._libs.lib.maybe_convert_objects}
      403    0.001    0.000    0.002    0.000 response.py:82(decompress)
       30    0.001    0.000   23.898    0.797 connectionpool.py:357(_make_request)
       30    0.001    0.000   23.911    0.797 connectionpool.py:518(urlopen)
      930    0.001    0.000    0.001    0.000 parse.py:114(_coerce_args)
      403    0.001    0.000    0.003    0.000 response.py:689(_update_chunk_length)
    10680    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
       30    0.001    0.000    0.009    0.000 ssl_.py:250(create_urllib3_context)
   581/50    0.001    0.000    0.016    0.000 serializer.py:417(_optimize_referred_value)
      450    0.001    0.000    0.001    0.000 _collections.py:156(__getitem__)
      120    0.001    0.000    0.001    0.000 message.py:497(get_all)
     4888    0.001    0.000    0.001    0.000 {built-in method builtins.id}
       50    0.001    0.000    0.010    0.000 serializer.py:383(_find_single_uses)
     1344    0.001    0.000    0.001    0.000 computedobject.py:60(__init__)
      373    0.001    0.000    0.007    0.000 response.py:703(_handle_chunk)
      180    0.001    0.000    0.001    0.000 threading.py:82(RLock)
       30    0.001    0.000    2.296    0.077 ssl.py:983(_create)
     1490    0.001    0.000    0.001    0.000 enum.py:670(__new__)
      120    0.001    0.000    0.001    0.000 {method 'splitlines' of 'str' objects}
      480    0.001    0.000    0.002    0.000 _collections_abc.py:760(get)
     3960    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
     1590    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
       30    0.001    0.000    0.013    0.000 discovery.py:1043(method)
     3960    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
     1080    0.001    0.000    0.002    0.000 socket.py:99(_intenum_converter)
       30    0.001    0.000   24.227    0.808 computedobject.py:99(getInfo)
  510/270    0.001    0.000   24.117    0.089 _helpers.py:111(positional_wrapper)
       30    0.001    0.000    7.315    0.244 connection.py:38(create_connection)
       30    0.001    0.000   23.936    0.798 adapters.py:394(send)
      120    0.001    0.000    0.001    0.000 discovery.py:758(_fix_up_parameters)
      480    0.001    0.000    0.001    0.000 feedparser.py:78(readline)
       30    0.001    0.000   13.967    0.466 client.py:312(begin)
       30    0.001    0.000    0.009    0.000 client.py:1281(_send_request)
      720    0.001    0.000    0.001    0.000 discovery.py:134(fix_method_name)
       30    0.001    0.000   13.951    0.465 client.py:279(_read_status)
