Thu Dec 21 11:35:20 2023    profile_results.prof

         573283 function calls (552838 primitive calls) in 17.231 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      905    0.001    0.000   12.344    0.014 {method 'readline' of '_io.BufferedReader' objects}
       30    0.001    0.000   16.880    0.563 sessions.py:626(send)
     8880    0.001    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
     1290    0.001    0.000    0.001    0.000 structures.py:53(__getitem__)
       90    0.001    0.000    0.011    0.000 url.py:330(parse_url)
       30    0.001    0.000   16.771    0.559 connectionpool.py:518(urlopen)
       20    0.001    0.000    0.002    0.000 {pandas._libs.lib.maybe_convert_objects}
      930    0.001    0.000    0.001    0.000 parse.py:114(_coerce_args)
      450    0.001    0.000    0.001    0.000 _collections.py:156(__getitem__)
      660    0.001    0.000    0.002    0.000 threading.py:351(notify)
       30    0.001    0.000   16.755    0.558 connectionpool.py:357(_make_request)
        1    0.001    0.001   17.231   17.231 1592753154.py:1(runnitea)
       60    0.001    0.000    0.001    0.000 socket.py:220(__init__)
       30    0.001    0.000    0.001    0.000 decoder.py:343(raw_decode)
      120    0.001    0.000    0.002    0.000 message.py:497(get_all)
     1480    0.001    0.000    0.001    0.000 computedobject.py:60(__init__)
      540    0.001    0.000    0.002    0.000 ee_types.py:88(isNumber)
   581/50    0.001    0.000    0.020    0.000 serializer.py:417(_optimize_referred_value)
    10680    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     1370    0.001    0.000    0.002    0.000 enum.py:358(__call__)
       50    0.001    0.000    0.012    0.000 serializer.py:383(_find_single_uses)
      120    0.001    0.000    0.001    0.000 {method 'splitlines' of 'str' objects}
  440/140    0.001    0.000    0.050    0.000 function.py:50(call)
     3960    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
     3960    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
       30    0.001    0.000    0.012    0.000 client.py:1281(_send_request)
      480    0.001    0.000    0.001    0.000 feedparser.py:78(readline)
      120    0.001    0.000    0.001    0.000 discovery.py:758(_fix_up_parameters)
      480    0.001    0.000    0.002    0.000 _collections_abc.py:760(get)
 1240/450    0.001    0.000    0.024    0.000 {method 'join' of 'bytes' objects}
      580    0.001    0.000    0.001    0.000 apifunction.py:143(lookupInternal)
     1590    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      540    0.001    0.000    0.002    0.000 _policybase.py:281(_sanitize_header)
      720    0.001    0.000    0.001    0.000 discovery.py:134(fix_method_name)
      395    0.001    0.000    0.004    0.000 response.py:392(_decode)
       30    0.001    0.000    0.008    0.000 ssl_.py:250(create_urllib3_context)
       30    0.001    0.000   12.362    0.412 client.py:312(begin)
  510/270    0.001    0.000   17.013    0.063 _helpers.py:111(positional_wrapper)
      100    0.001    0.000    0.011    0.000 ee_date.py:23(__init__)
      790    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
       50    0.001    0.000    0.094    0.002 serializer.py:96(_encode_for_cloud_api)
       30    0.001    0.000   12.341    0.411 client.py:279(_read_status)
       30    0.001    0.000    0.013    0.000 discovery.py:1043(method)
      390    0.001    0.000    0.001    0.000 _collections.py:215(add)
       60    0.001    0.000    0.057    0.001 _collections.py:92(clear)
       30    0.001    0.000   16.800    0.560 adapters.py:394(send)
     3458    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     4140    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
       30    0.001    0.000   17.148    0.572 computedobject.py:99(getInfo)
       30    0.001    0.000    0.007    0.000 response.py:581(from_httplib)
       30    0.001    0.000    2.834    0.094 ssl.py:983(_create)
      180    0.001    0.000    0.001    0.000 threading.py:82(RLock)
     2519    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
     1210    0.001    0.000    0.001    0.000 apifunction.py:103(encode_cloud_invocation)
       60    0.001    0.000    0.003    0.000 discovery.py:1481(_add_nested_resources)
       30    0.001    0.000    0.001    0.000 response.py:195(__init__)
     1450    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     1370    0.001    0.000    0.001    0.000 enum.py:670(__new__)
      850    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
       60    0.001    0.000    0.001    0.000 client.py:418(close)
       20    0.001    0.000    0.004    0.000 base.py:375(__new__)
      480    0.001    0.000    0.002    0.000 feedparser.py:128(__next__)
       30    0.001    0.000    0.001    0.000 socket.py:302(makefile)
     1080    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
       30    0.001    0.000    0.002    0.000 _collections.py:231(extend)
      960    0.001    0.000    0.001    0.000 socket.py:99(_intenum_converter)
       60    0.001    0.000    0.004    0.000 ssl.py:1193(sendall)
      120    0.001    0.000    0.002    0.000 message.py:564(get_content_type)
      500    0.001    0.000    0.001    0.000 element.py:22(__init__)
       90    0.001    0.000    0.053    0.001 utils.py:730(should_bypass_proxies)
     1650    0.001    0.000    0.001    0.000 structures.py:60(<genexpr>)
      520    0.001    0.000    0.001    0.000 ee_types.py:102(isString)
