ID,Area_m2,Area_km2,NDVI,NDWI
5317.0,9075.993,0.00908,0.1416513771460951,-0.16744116588664437
5320.0,8406.502,0.00841,0.1383014850726311,-0.1671521965420266
5323.0,10800.905,0.0108,,
5333.0,10334.662,0.01033,0.17165258983071982,-0.19548059277573993
5335.0,155556.225,0.15556,0.07298054480998054,-0.0982607363871143
5336.0,32014.409,0.03201,0.12829857340266532,-0.1703928981215368
5338.0,23660.673,0.02366,0.19369702862499674,-0.21440057145193267
5339.0,9747.427,0.00975,0.1938093845948437,-0.2130387247884297
5340.0,5514.72,0.00551,0.16072291649075207,-0.18062977141030298
5341.0,13253.393,0.01325,0.1451238369186502,-0.18169107800758094
5342.0,51492.808,0.05149,0.10352235482024963,-0.1434507168447086
5344.0,46144.998,0.04614,0.131849300085677,-0.16256513949880422
5345.0,71197.694,0.0712,0.11621373584824157,-0.1603821009371808
5346.0,20200.52,0.0202,0.18832269513730196,-0.2096061606914137
5347.0,28301.534,0.0283,0.13666531782703964,-0.16487307388627528
5350.0,44461.507,0.04446,0.12606520700324372,-0.1621643168077048
5351.0,12843.825,0.01284,0.17780009980570619,-0.20375034025936165
5352.0,7657.024,0.00766,0.07953507210711222,-0.1333017756584421
5353.0,9662.946,0.00966,0.17190617812689632,-0.20228524623832334
5354.0,15127.024,0.01513,0.14148822468494943,-0.16654977633622428
5355.0,9580.433,0.00958,0.08611347127364945,-0.11828367421037186
5356.0,10801.58,0.0108,0.19770164680494087,-0.20257673797130485
5357.0,7529.085,0.00753,0.17717606176543088,-0.20637203050955025
5359.0,5294.923,0.00529,0.1196678878778259,-0.1451223861024966
5360.0,76622.393,0.07662,0.1924364584205729,-0.20716628102350482
5361.0,59746.089,0.05975,0.19279167107501877,-0.2137301741580046
5362.0,7061.676,0.00706,0.12676253402152396,-0.15684406136878457
5363.0,5220.755,0.00522,0.11905723367490112,-0.15060222118603064
5365.0,8338.046,0.00834,0.1980543597186667,-0.20974761029609768
5366.0,12627.575,0.01263,0.16570182901549524,-0.18594823889791723
5367.0,12697.391,0.0127,0.14102165534093047,-0.16555316912399468
5369.0,66051.056,0.06605,0.195414638203106,-0.20548064778818836
5371.0,33382.971,0.03338,0.1901359401170676,-0.19725606649741462
5372.0,17293.892,0.01729,0.18810456300715547,-0.1945619399509183
5373.0,9411.061,0.00941,0.19854155547955576,-0.2083975983054953
5374.0,34261.406,0.03426,0.1832296533661813,-0.19657172019481725
5375.0,18374.302,0.01837,0.18652072372132916,-0.21232593339268077
5378.0,5882.875,0.00588,0.1563241760399871,-0.18700390158658883
5380.0,21928.623,0.02193,0.18214297681783068,-0.21399049013505592
5381.0,7270.669,0.00727,0.19347326847623222,-0.21444277657892077
5384.0,11170.573,0.01117,0.16239969735190257,-0.1802402207735264
5390.0,10466.37,0.01047,0.1785609866273223,-0.20204377006337026
5391.0,8391.914,0.00839,0.19675104069182364,-0.21438028145704371
5392.0,8358.729,0.00836,0.15803857582741646,-0.1827259786775459
5393.0,29084.59,0.02908,0.18439642118293043,-0.21319799790691696
5395.0,6523.893,0.00652,0.0911795930179434,-0.12050725894040161
5396.0,77647.857,0.07765,0.05463340250969626,-0.07296951045155997
5397.0,34956.763,0.03496,0.1766803345147809,-0.2019337415716646
5398.0,21854.795,0.02185,0.015275272107410557,-0.02382627218085213
5400.0,30425.248,0.03043,0.1879515355214837,-0.211269748129128
5402.0,4905.888,0.00491,0.09704983837607044,-0.09650127807611127
5403.0,7688.628,0.00769,0.19745628962460815,-0.21700787342137084
5405.0,9034.817,0.00903,0.1692409526544387,-0.1913279783819298
5406.0,11723.607,0.01172,0.19275313787384546,-0.2102681985569301
5407.0,8146.67,0.00815,0.19645754973834148,-0.21596498330542524
5409.0,8127.262,0.00813,0.07249206061074362,-0.07666507243460485
5410.0,8541.078,0.00854,0.0966964840758512,-0.1424641117614857
5412.0,64063.359,0.06406,0.14519524301838754,-0.15517187146542682
5414.0,88151.247,0.08815,0.15201768925503995,-0.1783600243964074
5416.0,4528.743,0.00453,0.19103088145834865,-0.21517210005597273
5417.0,9083.002,0.00908,0.1741462441624527,-0.1970629628139351
5418.0,69637.317,0.06964,0.1919911741074538,-0.20837691540729344
5421.0,64531.839,0.06453,0.06584834245931702,-0.07556442919897426
5426.0,8795.406,0.0088,0.18729313096424524,-0.20025360283101434
5427.0,30927.282,0.03093,0.13744950428788708,-0.13995987468572574
5428.0,8848.928,0.00885,0.15030804170224749,-0.17411825500709072
5429.0,22945.798,0.02295,0.1271124825557737,-0.16637467409394568
5430.0,1678.595,0.00168,0.18362098623937703,-0.20356426989414655
5431.0,5593.613,0.00559,0.17814096864762996,-0.19681608291294658
5433.0,36821.602,0.03682,0.10029092589090167,-0.09770778449249444
5440.0,21252.43,0.02125,0.1118619381485756,-0.10699527969271716
5442.0,6557.961,0.00656,0.0678619895855292,-0.06722044631322424
5444.0,66289.771,0.06629,0.1488172768374757,-0.1606499930149765
5445.0,43574.889,0.04357,-0.0047032185954353385,0.003301058017702233
5446.0,13417.933,0.01342,0.05250271694732187,-0.07646624323317652
5450.0,25217.022,0.02522,0.030547794674698574,-0.0445936943100777
5453.0,22612.268,0.02261,0.09113338587124979,-0.11462230888333111
5454.0,31656.61,0.03166,0.033294821592264864,-0.04439126862257007
5455.0,36619.976,0.03662,0.020516015255598277,-0.03082757844333826
5456.0,18366.134,0.01837,0.05433805698531641,-0.06641463740555437
5458.0,188299.112,0.1883,0.0978507959101035,-0.10577053281782146
5459.0,4663.172,0.00466,0.1892817656499815,-0.21073277677033878
5460.0,21864.465,0.02186,0.03594523744970318,-0.04851819445819164
5461.0,4527.946,0.00453,0.042185261960658076,-0.05080336370076066
5462.0,22405.758,0.02241,0.043700255881182495,-0.03547073537853626
5463.0,11807.901,0.01181,0.13625661163258365,-0.13164707947497106
5464.0,27050.914,0.02705,0.164168899388034,-0.16143435037986756
5465.0,26428.731,0.02643,0.16874821665422504,-0.1913043205602212
5466.0,5779.789,0.00578,0.19841224467958463,-0.22125829566987745
5467.0,12752.106,0.01275,0.16776929409861738,-0.1624539376327621
5468.0,5865.326,0.00587,0.021275182954332235,-0.030769144284376698
5472.0,17584.274,0.01758,0.04048965945536255,-0.05230036682363182
5474.0,5209.761,0.00521,0.0728487735767869,-0.07881800857292336
