ID,Site,SampleDate,Latitude,Longitude,SoilC.kg.m2,SoilN.kg.m2,Roots.kg.m2,percentC,Blue,Green,Red,NIR,SWIR_1,SWIR_2,peak_date,Driver,Cdef,Elevation,AET,Flow,Slope,SWE,Annual_Precipitation,Snow_days,Wet_days,Minimum_temperature,Maximum_temperature,NIR_Green,NIR_Red,NDVI,NDWI,EVI,SAVI,BSI,NDSI,NDPI,dBlue,dGreen,dRed,dNIR,dSWIR_1,dSWIR_2,dNDVI,dNDWI,dEVI,dSAVI,dBSI,dNDSI,dNDPI,Shallow_Clay,Deep_Clay,Shallow_Hydra_Conduc,Deep_Hydra_Conduc,Organic_Matter
UTM 4,Uppter Truckee Marsh,2021-10-18,38.93809002,-120.000014,9.858542159,0.775125343,1.766600204,4.265062879,0.08644,0.10624,0.0803349999999999,0.2167075,0.2290825,0.1464725,2021-08-21,LANDSAT_8,8400,1899.2125244140625,3362,2,0.9474447138785848,49.47978591918945,403,59,0,268.2945556640625,296.4681396484375,2.039791980421686,2.697547768718492,0.4591009703998586,-0.0277597074855874,0.324567374401131,0.2566472302292538,0.0102356484617958,-0.3663413579464545,0.3289109378401499,15.039178333333332,20.6947515625,24.006641875,54.3373853125,59.50673104166667,38.195107604166665,114.2998587815444,-10.664489218086024,58.80572791724492,59.22440715344816,26.77811645795824,-139.68262287307044,83.09078794546514,12.941558837890625,10.93137264251709,1.0686354637145996,0.539837121963501,0.7979796528816223
UTM 5,Uppter Truckee Marsh,2021-10-18,38.93842597,-119.999274,10.64810311,0.78676679,0.705474009,8.10553011,0.0405149999999999,0.0606174999999999,0.0615525,0.345985,0.234665,0.12802,2021-07-20,LANDSAT_8,8404,1899.3428955078125,3358,3,0.2985052429978995,49.95134353637695,401,81,0,268.274169921875,296.4896545410156,5.707675176310473,5.620973965314162,0.6979296383768365,0.1917161801429432,0.5037993180711154,0.4701169373166398,-0.1322399088935028,-0.5894270740731334,0.5842413352894525,16.220591484375,21.20697828125,22.75873625,64.1843065625,57.01299835937501,34.488447890625,133.5156330013624,12.74224114852052,78.2008346841927,75.63263273573762,5.210456669733548,-131.37602673263942,103.26773040809388,14.449090957641602,14.21192455291748,1.081897497177124,0.6230936646461487,0.8249829411506653
UTM 6,Uppter Truckee Marsh,2021-10-18,38.938718,-119.999877,7.577850401,0.502992222,1.4459302,4.523762536,0.03628,0.0594899999999999,0.0497275,0.3854475,0.19721,0.0948275,2021-07-20,LANDSAT_8,8406,1899.2784423828125,3364,2,0.0799430385073273,50.4807014465332,400,71,3,268.2835388183594,296.4739990234375,6.479198184568837,7.751194007340001,0.7714597575687943,0.3230671535164311,0.5945261517483199,0.5384874488732057,-0.2614014491561545,-0.5365017530190885,0.6942039782954118,16.19036796875,22.42522296875,23.57523515625,79.0432834375,52.57310171875,29.89361109375,159.54454070967068,55.27734443598685,102.06665030296082,97.0322105358349,-27.73533362893711,-120.63758535865884,141.42174841789097,14.62818717956543,15.05730152130127,0.9862786531448364,0.6361926794052124,0.7662922143936157
UTM 7,Uppter Truckee Marsh,2021-10-18,38.936993,-120.001067,8.124580409,0.531424418,3.060940947,2.6772542,0.0339424999999999,0.0514049999999999,0.0529175,0.260845,0.1990525,0.114545,2020-10-05,LANDSAT_8,8389,1899.171630859375,3359,2,1.1200987725072935,47.75992584228516,403,68,0,268.31768798828125,296.4565124511719,5.074311837369907,4.929276704303868,0.6626907294530098,0.1343614609777177,0.392677226694365,0.3832706102824841,-0.0783116829673117,-0.5895111945140394,0.5304275481065692,17.773675937500002,23.8956228125,28.4695328125,64.078151875,71.119320625,47.712874375,112.37589858154628,-13.967838700571406,65.41202960302746,65.28281296225924,28.97687521322469,-141.920377511062,75.8254832359861,12.333318710327148,10.154621124267578,1.380122184753418,0.5071782469749451,1.0845164060592651
UTM10,Uppter Truckee Marsh,2022-07-15,38.93731906,-120.001272,4.776407617,0.382522752,2.856878218,1.385058897,0.0454374999999999,0.0597099999999999,0.06906,0.2753375,0.21492,0.1262599999999999,2022-07-30,LANDSAT_7,7591,1899.2978515625,4248,2,0.140484056461581,0.0,612,91,0,275.6399230957031,305.0351867675781,4.611246022441804,3.986931653634521,0.5989517926233494,0.1232362584968103,0.3823022741404441,0.3664343511201774,-0.0608428206463774,-0.5651603976258968,0.4900606252477572,14.476139062499998,19.92479828125,23.8378575,56.7380771875,66.55747812499999,44.64537328125,106.9844280527182,-22.12106730864119,60.69804414978176,60.99963165434524,32.36700599758377,-143.62759485091203,68.41916605532182,12.429259300231934,10.19234848022461,1.391257643699646,0.507323682308197,1.0831100940704346
UTM12,Uppter Truckee Marsh,2022-07-15,38.93607182,-120.001015,5.623041389,0.499189166,1.539216019,1.80802177,0.0485724999999999,0.0738725,0.0777775,0.2756125,0.2485525,0.162175,2022-07-07,LANDSAT_8,7566,1899.2188720703125,4251,2,0.7405699773401997,0.0,612,92,0,275.64801025390625,305.0341186523437,3.730921520186808,3.543601941435505,0.5598205948102662,0.0516249654211936,0.3589211411237614,0.3477337442435463,0.0032973874545553,-0.5417694037373032,0.4114977047558299,15.141479375,20.108274999999995,23.417219375,56.87523187500001,62.096890625,41.69686125,111.19219909556988,-14.168821716130532,62.761933420528734,62.42452658461039,25.69692283125728,-139.07827417224473,74.35740505910329,10.511241912841797,10.594670295715332,1.3141850233078003,0.5325654149055481,0.9562632441520691
UTM13,Uppter Truckee Marsh,2022-07-15,38.9354848,-120.000883,6.209895864,0.546014346,1.240648394,1.387238947,0.0468399999999999,0.0640549999999999,0.08039,0.2526225,0.26167,0.1909124999999999,2022-06-14,LANDSAT_7,7547,1899.0284423828125,4253,2,1.4513831432244066,0.0,613,90,0,275.6507263183594,305.0313415527344,3.943837327296857,3.1424617489737527,0.5171953004767088,-0.0175921289927424,0.3111895061114975,0.3101379030926907,0.0664006328694628,-0.6066927622994859,0.3238701989087166,16.744606302083334,22.81772520833333,27.37436520833333,60.37155104166668,71.16924786458333,50.20035119791668,100.99592789901452,-24.1179649952851,59.39312488014763,59.468775347514125,35.10906493909093,-139.42964556618813,60.68585067963058,10.157258987426758,7.6043829917907715,1.3184479475021362,0.7117278575897217,0.933702290058136
UTM8,Uppter Truckee Marsh,2022-07-15,38.93807904,-120.002303,5.705847622,0.372405897,1.498403473,1.721801692,0.0506625,0.07533,0.0833599999999999,0.2797925,0.2720925,0.18995,2022-07-07,LANDSAT_8,7598,1899.043212890625,4254,2,1.4036401054199872,0.0,612,91,0,275.6170349121094,305.0259094238281,3.714224080711536,3.3564359404990407,0.5409091222007284,0.013952182066916,0.3507763929402752,0.341363490229131,0.0364444185258216,-0.5663493297066252,0.364668050718433,15.555588750000002,21.24974390625,25.53968546875,61.33613984375,67.8447109375,46.8679859375,110.23285652036128,-15.68555662118702,64.69341712576174,64.86437245781694,28.39253799820122,-142.0905847448861,71.10587747890668,9.719232559204102,6.544187068939209,1.2349443435668945,0.5968998074531555,0.8612039089202881
UTM9,Uppter Truckee Marsh,2022-07-15,38.93782224,-120.001457,4.759829693,0.422946027,1.702466203,1.301501873,0.0529175,0.0724425,0.0710124999999999,0.3305575,0.2385149999999999,0.143035,2022-08-16,LANDSAT_9,7596,1899.1658935546875,4250,2,0.1826077479028558,0.0,612,97,0,275.6304626464844,305.0318298339844,4.563032750112157,4.6549199084668205,0.6463256717384268,0.1617412544095876,0.4771920599447878,0.431821711015229,-0.1067059642641982,-0.5340681604399313,0.5259085828159956,13.8559125,19.192033125,21.137885,63.89732562499999,57.2523425,36.654595,130.10458630255766,10.587061719235132,79.0084710422737,76.99601826869437,4.21203162495209,-133.31473826652498,98.25064995192596,11.557930946350098,9.154458999633789,1.3435540199279785,0.6177719831466675,1.0192652940750122
UTMC1,Uppter Truckee Marsh,2021-10-18,38.93642798,-120.001982,4.452234643,0.321299986,0.483920187,0.989959272,0.0621025,0.0864674999999999,0.0932875,0.24891,0.26948,0.190885,2021-06-18,LANDSAT_8,8375,1900.5194091796875,3358,3,1.4154480347275846,46.77659606933594,403,70,0,268.34588623046875,296.436767578125,2.8786538294735027,2.66820313546831,0.4547739244149942,-0.0396805493933138,0.2897207745000665,0.2771722191053761,0.0768129062898868,-0.5141558797294545,0.2925675935321248,18.4792425,25.27258125,28.21366328125,60.28653429687501,65.862980859375,46.825464765625,107.06282222909265,-12.719347651208444,60.2243011975177,59.972521701528905,28.28762724889692,-129.38400331684335,69.46178952344928,9.805731773376465,6.148728370666504,1.2038812637329102,0.4878480136394501,0.8448811769485474
