ID,Site,SampleDate,Latitude,Longitude,SoilC.kg.m2,SoilN.kg.m2,Roots.kg.m2,percentC,Blue,Green,Red,NIR,SWIR_1,SWIR_2,peak_date,Driver,Cdef,Elevation,AET,Flow,Slope,SWE,Annual_Precipitation,Snow_days,Wet_days,Minimum_temperature,Maximum_temperature,NIR_Green,NIR_Red,NDVI,NDWI,EVI,SAVI,BSI,NDSI,NDPI,dBlue,dGreen,dRed,dNIR,dSWIR_1,dSWIR_2,dNDVI,dNDWI,dEVI,dSAVI,dBSI,dNDSI,dNDPI
D13,Clover Valley,2019-06-28,39.95544474,-120.4263173,0.0,,6.468788535,0.0,0.03751750000000001,0.06485249999999998,0.05003000000000002,0.345215,0.18951,0.0954875,2019-06-13,LANDSAT_8,6878,1669.9324951171875,3807,425,0.5889751745541364,0.0,968,115,0,273.6579895019531,302.5614318847656,5.323079295324006,6.9001599040575625,0.7468405672431023,0.29118705876852585,0.5410227719478634,0.4945880736558148,-0.23011220968305685,-0.49007813651776516,0.662699944587104,10.972942589285713,17.632127172619047,21.62705790178571,61.23615860119048,55.156379375,31.196484494047617,108.68760653681821,13.849919907904034,68.63570596095997,68.50616742189939,2.011830048564094,-114.6525671156541,92.11946330701053
D14,Clover Valley,2019-06-28,39.95047473,-120.4264405,0.0,,4.681782059,0.0,0.04065250000000001,0.0662275,0.05575000000000002,0.3077325,0.2012525,0.11220750000000002,2019-06-13,LANDSAT_8,6857,1667.8065185546875,3814,1,0.40892279101151435,0.0,974,95,0,273.61480712890625,302.6881103515625,4.64659695745725,5.519865470852016,0.693245204377102,0.20920066406672105,0.4710521174982778,0.4377318011656287,-0.15094877248043614,-0.504804097502617,0.5849273209625574,13.043173944220431,19.96044212802419,25.539166252352153,58.98278923319892,60.35563695161291,36.841610949260755,92.16292881214815,-0.5685557017414957,57.73324737469187,57.9552736928068,16.71275854047582,-113.44193185468248,73.42222081660927
DHA,Deer,2019-09-07,39.42866637,-120.6508363,13.32247575,,5.54443652,28.48802663,0.029927499999999996,0.04937,0.032594999999999985,0.458405,0.16621750000000002,0.06809749999999998,2019-07-23,LANDSAT_7,4091,1879.688232421875,6529,2,1.1740039397830635,68.19795989990234,2299,180,6,272.3036804199219,300.29119873046875,9.285092161231518,14.063660070562976,0.8672301425661915,0.46778254065455527,0.7446736882604723,0.6445156407669022,-0.42133756339637196,-0.5419957093987361,0.8096561710516992,5.678218486463133,9.550987884504607,10.648645442108295,51.951974817108294,34.15177646457373,17.79145430299539,115.61589545351995,42.43812756299774,73.97192400781324,71.14034762736907,-28.604613119103735,-92.35901835170061,102.48994651400275
LHA,Loney,2019-08-22,39.42058534,-120.6555018,14.55996173,,5.944541665,18.69627342,0.026242500000000002,0.049947500000000006,0.03089,0.41382749999999996,0.152275,0.0682625,2019-07-15,LANDSAT_8,4064,1818.39501953125,6642,27,0.306176698390414,51.478214263916016,2323,169,1,281.0863342285156,303.3504943847656,8.285249511987585,13.396811265781805,0.86108034876073,0.4620232201765581,0.6826716606692879,0.6080190639000547,-0.41221208693350014,-0.5060144148153642,0.7947187253746736,4.8603509375,9.819243749999998,9.675515,51.5363071875,30.09955875,15.82749875,129.64020103244493,53.94971002376598,75.62924216777296,74.89342895547779,-33.802273338451684,-91.3855637836377,117.03403951656941
R25,Clover Valley,2019-06-28,39.94547401,-120.4271855,0.0,,5.261903248,0.0,0.0326225,0.05915999999999999,0.04956250000000001,0.3170825,0.19366250000000002,0.09994249999999999,2019-06-20,LANDSAT_8,6834,1667.086669921875,3823,265,0.13753137671303783,0.0,978,110,0,273.58416748046875,302.8405456542969,5.359744759972956,6.39762925598991,0.7296431152749935,0.2416470058444037,0.48825046927856564,0.4630269602893918,-0.1795827500716779,-0.532003678470073,0.6310316394392974,10.659224196428571,16.75388943452381,21.078814107142858,53.54491486607143,53.39220245535714,32.1666887202381,90.08084019000361,2.5296916595492602,55.72330657536365,56.28040953365405,10.939305060563852,-104.2401369777321,71.76637642138738
R26,Clover Valley,2019-06-28,39.941533,-120.4275425,0.0,,1.835106978,0.0,0.025279999999999997,0.05305500000000002,0.03636249999999999,0.32051999999999997,0.16140500000000002,0.07596249999999999,2019-06-20,LANDSAT_8,6817,1665.5596923828125,3828,187,0.39003194519476564,0.0,983,95,0,273.5625305175781,302.9479064941406,6.041277919140512,8.814575455482984,0.7962214454337211,0.3301654821808372,0.5265705899139793,0.4974267183657035,-0.27233508257944045,-0.5052224190991326,0.7126071815477422,11.188165839573733,17.593523786002304,21.12606179003456,57.87760770305301,51.42804018001152,30.19505692108295,113.35035655118395,16.589378153094817,67.27774312094101,66.64450976180103,1.6410117716799721,-116.55646274934912,95.26294026954452
CP11,Calf,2022-08-03,38.938662,-120.291207,10.1390995,1.028584822,0.816250919,3.678366455,0.03386,0.05976500000000001,0.046097499999999986,0.323435,0.205955,0.11179499999999998,2022-06-29,LANDSAT_9,4849,2024.6436767578125,5531,58,2.5011839711788606,0.0,1027,159,0,284.16259765625,300.7082824707031,5.411779469589223,7.0163240956667945,0.7505090891870135,0.22191578987136132,0.5150874397319606,0.47842518824770786,-0.1727134352729764,-0.5501655878368207,0.6235091208349376,8.077571875,11.668515000000001,12.882316875000003,44.286739374999996,42.429863749999996,24.725473750000003,109.95255389067606,0.3080108915167834,59.38829678240276,59.352480090948134,9.00568002187066,-119.38796309969878,81.37972883381936
CP2,Calf,2022-08-03,38.93819798,-120.292089,4.766412229,0.570675008,3.165887494,2.256850316,0.0382325,0.061634999999999995,0.06149749999999998,0.30495500000000003,0.2422825,0.14067000000000002,2022-07-15,LANDSAT_9,4853,2023.5753173828125,5540,51,2.1598687745617116,0.0,1031,159,0,284.2049560546875,300.7425842285156,4.947756956274845,4.958819464205864,0.6643630484169164,0.1145252289910688,0.43875821463617726,0.4214729024383911,-0.06091109677070338,-0.59439650563064,0.519879468232822,9.867808125000002,14.3660725,16.19516625,50.138292500000006,48.28680687499999,30.555013125000002,105.43354396866737,2.6765036578205983,62.27671839130909,61.780009887622754,8.533683186246659,-113.24877722985035,77.03936367307531
CP20,Calf,2022-08-03,38.93820301,-120.292458,11.0476462,0.879324416,2.174725663,5.770869594,0.040514999999999995,0.06515500000000002,0.0695,0.2933775,0.24621500000000002,0.14776499999999998,2022-07-23,LANDSAT_8,4858,2023.2607421875,5548,48,1.763445990341192,0.0,1031,159,0,284.23974609375,300.7709655761719,4.5027626429284,4.221258992805756,0.6169506238331117,0.08740392055115664,0.3979294568490204,0.38918183635568204,-0.027982281608509775,-0.581494684780165,0.4768038687778763,10.118478124999996,14.533011875000001,16.913611250000002,50.925542500000006,47.927238125,29.252153125000003,105.18790374556204,5.892046039607279,61.86108370905064,61.73188414177028,7.1831895766472735,-112.70873054353312,80.58364056322804
WRS1,Wilson,2022-08-02,38.82695236,-120.255136,4.950168101,0.218463366,0.209893094,2.403092931,0.03152250000000001,0.06025999999999998,0.047609999999999986,0.314525,0.2121425,0.12015500000000001,2022-07-15,LANDSAT_9,5165,2022.0740966796875,5691,13,2.149793563416875,0.0,985,148,1,285.26593017578125,301.311767578125,5.219465648854963,6.606280193236717,0.7370593839314069,0.1943968443087906,0.48929756107397443,0.46439652722601454,-0.14244800264113572,-0.5575664687365205,0.596351573435979,8.586370624999999,13.57280125,13.686486249999998,54.356916874999996,40.256773124999995,24.02412125,132.40553208726575,30.71293737260866,76.0019059834276,75.14431558698334,-14.292079742326422,-112.59871569444363,107.3054441701751
