UniqueID,CalFireID,FireYear,Description,Area_km2,ANPP_mean,ANPP_std,BNPP_mean,BNPP_std,Rh_mean,Rh_std,NEP_mean,NEP_std
SNM14229,11514,1984,touching_perimeter,0.476684600035825,157.24666969455433,65.50106065042674,1825.8570080113407,236.74737891704268,614.3236014378894,235.43984210651746,1368.7800762680058,302.19889483635757
SNM383,11461,1984,entirely_within,0.017501589966438,139.05042544478667,96.87708713321592,1365.4000567473468,749.7441214246973,94.35262262079237,35.17256105603576,1410.0978595713414,802.6752976952555
SNM8927,11521,1984,touching_perimeter,0.027551655772547,82.09792076344648,25.46937985562355,517.0453125144027,165.79863717233363,225.573763970331,95.14322200626007,373.56946930751815,100.12907047932636
SNM8927,11496,1984,entirely_within,0.027551655772547,82.09792076344648,25.46937985562355,517.0453125144027,165.79863717233363,225.573763970331,95.14322200626007,373.56946930751815,100.12907047932636
SNM16403,11462,1984,touching_perimeter,4.155760425741305,154.60692574064365,72.50066594687698,791.7646625883061,145.73675015864987,975.0711511507411,252.01899041444486,-28.699562821791332,298.50160873497515
SNM8812,11496,1984,touching_perimeter,0.020856347852995,115.83959950238082,9.943863490986471,405.32839289474595,128.00407965492312,439.3280669762719,5.447288907091585,81.83992542085493,128.7203929527475
SNM16173,11462,1984,touching_perimeter,2.258828529881617,183.60008077819046,69.60127996047969,756.047645591684,177.70462707607138,820.6599316879294,297.0827243770676,118.98779468194506,282.23020634692307
SNM16733,11528,1984,touching_perimeter,0.035346981592178,61.767357097103194,7.400339378740751,584.7285352587348,110.48648197509736,240.63938492992185,67.06467311702032,405.85650742591616,146.21070864882626
SNM382,11461,1984,entirely_within,0.04383669202292,135.14461019778372,69.86972907371732,1449.7449327160639,531.8950271390567,466.44680667593275,183.57878539378703,1118.442736237915,522.5307009184797
SNM16734,11496,1984,touching_perimeter,0.115989560923473,67.27538822010324,18.256451148063046,585.2808993412802,75.43316485410057,414.15796987252986,84.74721865413976,238.3983176888537,109.53423889866232
SNM14308,11462,1984,touching_perimeter,1.563048447790864,89.45402103008172,58.75128209294762,812.1582295603722,244.25961792035207,631.9920219836436,271.6281432751014,269.6202286068104,263.6745029939203
SNM14307,11462,1984,touching_perimeter,1.262568679861353,155.49821770837428,66.99018863686518,764.69740108487,204.39689514838128,831.1733511070247,318.41613134291845,89.02226768621955,299.27563652685745
SNM16734,11528,1984,touching_perimeter,0.115989560923473,67.27538822010324,18.256451148063046,585.2808993412802,75.43316485410057,414.15796987252986,84.74721865413976,238.3983176888537,109.53423889866232
SNM16115,11300,1985,touching_perimeter,0.371466631017342,286.2835295948157,95.87543629765054,895.7262530511697,174.1572194253416,641.2713223859732,143.1281840170937,540.7384602600121,231.45029899344493
SNM7702,11435,1985,touching_perimeter,0.031630211199718,57.1511796175318,9.089189827732568,902.310991242303,48.52435992335719,389.03137367780954,68.86054163630986,570.4307971820253,125.83911613639383
SNM16231,11276,1985,touching_perimeter,182.79108073692367,170.37703596876085,78.63226791452333,620.8185988045063,295.0549240422842,353.82680312710755,179.24696604988793,437.36883164615966,252.4969038987059
SNM16116,11300,1985,entirely_within,0.043609529123779,244.79289596857197,94.5802432080432,863.6298536393437,237.98659778238675,690.0116168783504,152.31699374988304,418.41113272956534,338.71427972307293
SNM11970,11290,1985,entirely_within,0.039957975214803,42.90458613739218,48.38929151691966,564.3505857507777,53.799090983741955,316.314015931681,66.22076795407408,290.94115595648884,84.62703694806753
SNM11987,11290,1985,touching_perimeter,0.030900344962051,0.0,,528.4755133713297,,238.1569264076317,,290.31858696369807,
SNM11981,11290,1985,touching_perimeter,0.03163306138734,48.12686716549167,25.628237089015578,651.9688678649142,187.85206588749736,269.8140622435233,31.71496965716714,430.2816727868826,178.88980518830468
SNM8313,11090,1986,touching_perimeter,0.106833559407994,85.23569980702953,41.02351864789854,673.6353084785046,240.43129502066517,473.51860613665207,95.5599722950028,285.35240214888205,227.0453122102886
