Site,ID,SampleDate,Latitude,Longitude,HerbBio.g.m2,ShrubBio.g.m2,Blue,Green,Red,NIR,SWIR_1,SWIR_2,peak_date,Driver,Cdef,Elevation,AET,Flow,Slope,SWE,Annual_Precipitation,Snow_days,Wet_days,Minimum_temperature,Maximum_temperature,NIR_Green,NIR_Red,NDVI,NDWI,EVI,SAVI,BSI,NDSI,NDPI,dBlue,dGreen,dRed,dNIR,dSWIR_1,dSWIR_2,dNDVI,dNDWI,dEVI,dSAVI,dBSI,dNDSI,dNDPI
East Creek,C25,2021-09-02,40.24583397,-120.894679,0.48,,0.037077499999999985,0.061634999999999995,0.0476925,0.33424250000000005,0.17372500000000002,0.08465250000000002,2021-06-10,LANDSAT_7,7947,1545.2303466796875,3181,18,0.6593693774974779,0.0,396,104,0,271.9682312011719,305.52880859375,5.4229333982315255,7.00828222466845,0.7502585518478276,0.31599954721512696,0.5336857093103061,0.4873658489571228,-0.252898627132584,-0.47624915023793346,0.6787779126634178,10.9884803125,16.85893625,22.15835984375,54.59088187500001,52.739226093750005,33.611819375,98.09642926760681,6.8896755009451605,55.88805045878128,57.735522806609424,11.177044669041056,-113.12359255618665,75.92906295963404
East Creek,C26,2021-09-02,40.24564496,-120.894703,2.24,,0.0388375,0.061634999999999995,0.05305500000000002,0.32316000000000006,0.192315,0.10830250000000002,2021-06-10,LANDSAT_7,7943,1545.187744140625,3181,17,0.8147410407486643,0.0,396,104,0,271.9690856933594,305.5338439941406,5.243124847894866,6.091037602487983,0.7179538295921215,0.2538338425723847,0.5001171115207186,0.46239507426830173,-0.19202130505830498,-0.5145894861193149,0.6136864741404944,10.8041480625,16.61299575,21.97131884375,52.669479125,51.78460509375,32.820960875,94.9499358224499,5.639349209642561,52.944734029651954,55.069675049969064,12.466357825130647,-111.26128951894873,73.71453813855251
East Creek,C27,2021-09-02,40.24554798,-120.89491,53.6,,0.0388375,0.061634999999999995,0.05305500000000002,0.32316000000000006,0.192315,0.10830250000000002,2021-06-10,LANDSAT_7,7945,1544.7515869140625,3184,17,0.6957738084232263,0.0,396,106,0,271.9689636230469,305.5340881347656,5.243124847894866,6.091037602487983,0.7179538295921215,0.2538338425723847,0.5001171115207186,0.46239507426830173,-0.19202130505830498,-0.5145894861193149,0.6136864741404944,10.682057656249999,16.2562578125,21.003701406250002,50.35691609375,49.67077046875001,31.129808124999997,94.54513725358427,8.578691129915535,51.548955845156094,53.493440910912895,10.104162287061241,-105.81490682487748,75.16460370615002
East Creek,C28,2021-09-02,40.24548604,-120.895201,50.24,,0.0387825,0.06160749999999998,0.05305500000000002,0.315845,0.18538500000000002,0.09650500000000001,2021-06-10,LANDSAT_7,7943,1544.3642578125,3184,17,0.521174147427313,0.0,396,108,1,271.9698181152344,305.5390319824219,5.126729700117682,5.953161813212701,0.7123610734616426,0.26027971190870447,0.48907313577972245,0.45365979974680626,-0.19590940322981773,-0.5011386985434781,0.6279914849311115,9.978074687500001,15.3227203125,20.2381390625,49.07215375,48.77714578125,30.6475078125,94.60497438890718,10.904856381893154,50.47563774394584,52.54423440322453,7.670637661143148,-102.81760922873455,75.21128946643013
East Creek,C29,2021-09-02,40.24536802,-120.89554,0.0,,0.033420000000000005,0.061580000000000024,0.044062500000000004,0.371395,0.16212,0.07288250000000002,2021-06-10,LANDSAT_7,7944,1544.16552734375,3185,18,0.37329271818706344,0.0,396,108,2,271.9697265625,305.5391540527344,6.031097759012663,8.428822695035459,0.7878844406467569,0.3922570124551325,0.5908016994917408,0.5363424844954571,-0.32509543819737396,-0.4494412159141706,0.734930044800944,9.546561718749999,15.12734296875,19.6826096875,51.258958750000005,47.4019634375,28.528147968749998,98.16640543153379,16.25275067363163,54.71746672702806,56.33875722348829,1.8275128802894436,-100.83355938338151,81.12239910014429
East Creek,C30,2021-09-02,40.24525998,-120.895828,0.0,,0.03691249999999999,0.06353249999999999,0.04582249999999999,0.37882,0.16445749999999998,0.07051750000000001,2021-06-10,LANDSAT_7,7944,1544.16552734375,3186,18,0.37329271818706344,0.0,396,106,1,271.96954345703125,305.5394287109375,5.962617557942786,8.267117682361286,0.7841831658395003,0.39457275517576196,0.604609592666194,0.5402047277731663,-0.3281923284279467,-0.44267292425106364,0.7396683369754378,10.0361190625,15.657507500000001,20.6366403125,52.719989687500004,49.17111640624999,29.417785625,96.77521612432548,13.504920097182413,54.903116987242086,56.53869822146438,4.958072208557318,-103.85602867521024,79.37179395405698
East Creek,C31,2021-09-02,40.24506703,-120.896094,4.48,,0.040404999999999996,0.06347750000000002,0.05297249999999998,0.35671,0.17845499999999997,0.08470749999999999,2021-06-10,LANDSAT_7,7942,1543.8955078125,3186,19,0.43312320382182135,0.0,396,109,0,271.97039794921875,305.54412841796875,5.619471466267574,6.733871348341124,0.7413973015688979,0.3330841889884429,0.5536562869689011,0.5008409527499981,-0.2636058818616085,-0.47524619470306784,0.6840007185245981,10.78445140625,16.523522656249998,21.84651375,54.0820034375,52.69135421875,31.82092703125,93.76819214339119,3.768902906215768,55.697231766293754,56.40777909989217,12.747764542286893,-109.86920174371431,72.93625045526183
East Creek,C32,2021-09-02,40.244918,-120.896391,0.0,,0.0385625,0.06345,0.04934250000000001,0.3715875,0.17147,0.08234249999999999,2021-06-10,LANDSAT_7,7942,1543.63427734375,3188,21,0.41304925486444644,0.0,396,109,0,271.9713439941406,305.5487365722656,5.856382978723404,7.530779753761968,0.7655548428479795,0.36850149385654374,0.5844447326157867,0.5248688825426471,-0.3000772629118212,-0.45981610761110164,0.7066827419910438,10.623456093749999,16.105412656249996,21.20117296875,53.3899590625,52.12446921875,31.60722796875,94.69630579645073,4.851643941682578,55.76050252725336,56.626950944892116,11.234443867074816,-110.39973758777492,74.33943909195943
East Creek,C33,2021-09-02,40.24479595,-120.896664,52.16,,0.0385625,0.06345,0.04934250000000001,0.3715875,0.17147,0.08234249999999999,2021-06-10,LANDSAT_7,7941,1543.445556640625,3188,22,0.37489758437082504,0.0,396,108,0,271.9713134765625,305.54864501953125,5.856382978723404,7.530779753761968,0.7655548428479795,0.36850149385654374,0.5844447326157867,0.5248688825426471,-0.3000772629118212,-0.45981610761110164,0.7066827419910438,10.9931725,16.5256946875,21.686853437500005,52.54682406250001,53.678315,32.89560593750001,91.89346088062061,-0.5379747297212368,53.76316186276034,54.7202179345213,15.800144355450318,-112.4746620846976,70.62552821123583
East Creek,C34,2021-09-02,40.24463997,-120.89697,12.32,,0.03892000000000001,0.06312000000000001,0.05418250000000002,0.31807250000000004,0.18984,0.10285749999999999,2021-05-25,LANDSAT_7,7938,1543.2142333984375,3189,25,0.46169281529718614,0.0,396,108,0,271.9722595214844,305.552978515625,5.039171419518378,5.87039173164767,0.7088957838041127,0.2524696675116285,0.48822679447259704,0.4538065130036515,-0.1879653586016988,-0.5009487666034155,0.6159264565425024,10.898992968750001,16.67281734375,21.995055625,51.6549675,52.22803484375,33.049419687500006,89.24579915648683,1.3308546898358689,51.13406837126108,52.896685398449826,15.650182378214758,-109.21426682225768,68.95148078014303
