Site,ID,SampleDate,Latitude,Longitude,SoilC.kg.m2,SoilN.kg.m2,Roots.kg.m2,percentC,percentN,BSI_June,Blue_June,EVI_June,Green_June,NDGI_June,NDPI_June,NDVI_June,NDWI_June,NIR_June,Red_June,SAVI_June,SWIR_1_June,SWIR_2_June,BSI_Sept,Blue_Sept,EVI_Sept,Green_Sept,NDGI_Sept,NDPI_Sept,NDVI_Sept,NDWI_Sept,NIR_Sept,Red_Sept,SAVI_Sept,SWIR_1_Sept,SWIR_2_Sept,dBSI,dBlue,dEVI,dGreen,dNDGI,dNDPI,dNDVI,dNDWI,dNIR,dRed,dSAVI,dSWIR_1,dSWIR_2,AET,Annual_Precipitation,SWE,Wet_days,Minimum_temperature,Maximum_temperature,SRad,Active_growth_days,Elevation,Slope,Shallow_Clay,Shallow_Sand,Shallow_Hydra_Conduc,Deep_Clay,Deep_Sand,Deep_Hydra_Conduc,Organic_Matter,Lithology
Calf,CP11,2022-08-03,38.938662,-120.291207,10.1390995,1.028584822,0.816250919,3.678366455,,-0.006721605406276256,0.03814541666666668,0.3729739477072483,0.0603104166666667,0.35203119903508384,0.4639114784336971,0.6289519037447222,0.04878497569263522,0.25411666666666666,0.057883541666666705,0.3624995221419534,0.23047583333333332,0.13782604166666668,0.04985315204914398,0.046902638888888876,0.34315268708466545,0.07250972222222224,0.24294130271650996,0.40920942232044116,0.5400420507200968,0.004242763777762645,0.27971152777777775,0.08354027777777773,0.34087026879790616,0.27734805555555553,0.16018736111111115,9.340661271785013,10.990617932783882,64.71686058906224,15.884132166460622,45.20288172795073,71.69654105888857,97.24195636456537,0.6825567125783035,54.01544025448718,17.828595951007326,62.21277954887728,52.925575468383705,32.048690169803116,515.84,1152.6,4.2,0,4.164422607421898,14.557916259765648,31052.351162719726,120,2020.584228515625,1.069828467850919,5.198947906494141,78.35539245605469,1.0612517595291138,5.754922389984131,73.39071655273438,1.2732807397842407,0.6242514252662659,11
Calf,CP2,2022-08-03,38.93819798,-120.292089,4.766412229,0.570675008,3.165887494,2.256850316,,-0.01063507379082128,0.04545812499999999,0.38051168288696446,0.06897750000000002,0.30654849386437777,0.45693588407250685,0.592796161971267,0.06246394028154467,0.27967791666666664,0.07150062499999998,0.36686302839420926,0.24679250000000003,0.14592708333333332,0.04985315204914398,0.046902638888888876,0.34315268708466545,0.07250972222222224,0.24294130271650996,0.40920942232044116,0.5400420507200968,0.004242763777762645,0.27971152777777775,0.08354027777777773,0.34087026879790616,0.27734805555555553,0.16018736111111115,9.340661271785013,10.990617932783882,64.71686058906224,15.884132166460622,45.20288172795073,71.69654105888857,97.24195636456537,0.6825567125783035,54.01544025448718,17.828595951007326,62.21277954887728,52.925575468383705,32.048690169803116,515.84,1152.6,4.2,0,4.164422607421898,14.557916259765648,31748.54806213379,120,2020.584228515625,1.069828467850919,5.198947906494141,78.35539245605469,1.0612517595291138,5.754922389984131,73.39071655273438,1.2732807397842407,0.6242514252662659,11
Calf,CP20,2022-08-03,38.93820301,-120.292458,11.0476462,0.879324416,2.174725663,5.770869594,,-0.09415210851972523,0.0352533333333333,0.35631343690760164,0.05489749999999999,0.343058482548242,0.5263883889639113,0.6274900119548573,0.1631198436506592,0.2422091666666667,0.05543833333333331,0.35122814275729575,0.1742727083333333,0.10024499999999997,0.04985315204914398,0.046902638888888876,0.34315268708466545,0.07250972222222224,0.24294130271650996,0.40920942232044116,0.5400420507200968,0.004242763777762645,0.27971152777777775,0.08354027777777773,0.34087026879790616,0.27734805555555553,0.16018736111111115,9.340661271785013,10.990617932783882,64.71686058906224,15.884132166460622,45.20288172795073,71.69654105888857,97.24195636456537,0.6825567125783035,54.01544025448718,17.828595951007326,62.21277954887728,52.925575468383705,32.048690169803116,515.84,1152.6,4.2,0,4.164422607421898,14.557916259765648,31748.54806213379,120,2020.584228515625,1.069828467850919,5.198947906494141,78.35539245605469,1.0612517595291138,5.754922389984131,73.39071655273438,1.2732807397842407,0.6242514252662659,11
Wilson,WRA,2023-08-31,38.82586296,-120.256128,8.011101293,0.034853184,0.830302096,4.530850199,,0.0019716219380833825,0.14101890625000002,0.2050725408463896,0.16374765624999998,0.08077202255504963,0.24304565534963127,0.22913949640890316,0.046379492029431535,0.26484796875,0.166100625,0.1591076205704833,0.24136984374999998,0.15514359374999998,0.0532131205280009,0.04587357142857143,0.34171753041374975,0.06973178571428568,0.24825302023388815,0.40606865753844495,0.5458512073632518,-0.0028115936417305487,0.2728638095238095,0.08016345238095235,0.33885263534116383,0.2744025,0.15992654761904762,7.703329043209925,9.425157253956582,61.74052839632775,13.81947823018611,45.146737507576304,67.87535732517742,93.20165505475775,0.6175461529650246,49.495286243646305,15.286038639261474,59.100826969457515,48.4038233798656,29.415702951005983,532.9,1235.6,9.6,0,3.6818481445312727,13.907495117187523,29292.4275970459,122,2020.584228515625,1.069828467850919,5.198947906494141,78.35539245605469,1.0612517595291138,5.754922389984131,73.39071655273438,1.2732807397842407,0.6242514252662659,11
Wilson,WRB,2023-08-31,38.825611,-120.256229,9.352367289,0.196275678,0.264990031,4.138640128,,0.04014474332529693,0.043020937499999995,0.3385538568477049,0.06698546875,0.2871559474439504,0.3994327636073141,0.5689003084657137,0.0024268525365537404,0.2502540625,0.06876437499999999,0.3323912121941699,0.24904234375,0.156565,0.0532131205280009,0.04587357142857143,0.34171753041374975,0.06973178571428568,0.24825302023388815,0.40606865753844495,0.5458512073632518,-0.0028115936417305487,0.2728638095238095,0.08016345238095235,0.33885263534116383,0.2744025,0.15992654761904762,7.703329043209925,9.425157253956582,61.74052839632775,13.81947823018611,45.146737507576304,67.87535732517742,93.20165505475775,0.6175461529650246,49.495286243646305,15.286038639261474,59.100826969457515,48.4038233798656,29.415702951005983,532.9,1235.6,9.6,0,3.6818481445312727,13.907495117187523,29978.89132080078,122,2020.584228515625,1.069828467850919,5.198947906494141,78.35539245605469,1.0612517595291138,5.754922389984131,73.39071655273438,1.2732807397842407,0.6242514252662659,11
Wilson,WRC,2023-08-31,38.824906,-120.255856,9.589787379,0.258670797,0.783192757,4.863888768,,-0.046658502164117786,0.04033109374999999,0.3604379442764932,0.06390546874999997,0.33325478104629935,0.4878394587514134,0.6080404780580958,0.1027457881702709,0.25064765625,0.0610953125,0.3502691450014485,0.203940625,0.11833484374999997,0.0532131205280009,0.04587357142857143,0.34171753041374975,0.06973178571428568,0.24825302023388815,0.40606865753844495,0.5458512073632518,-0.0028115936417305487,0.2728638095238095,0.08016345238095235,0.33885263534116383,0.2744025,0.15992654761904762,7.703329043209925,9.425157253956582,61.74052839632775,13.81947823018611,45.146737507576304,67.87535732517742,93.20165505475775,0.6175461529650246,49.495286243646305,15.286038639261474,59.100826969457515,48.4038233798656,29.415702951005983,532.9,1235.6,9.6,0,3.6818481445312727,13.907495117187523,29978.89132080078,122,2020.584228515625,1.069828467850919,5.198947906494141,78.35539245605469,1.0612517595291138,5.754922389984131,73.39071655273438,1.2732807397842407,0.6242514252662659,11
Wilson,WRF,2023-08-31,38.823396,-120.256299,7.437450198,0.220126802,0.259101363,4.259181328,,-0.02041835669463198,0.040308750000000004,0.33618042301351625,0.06359781250000002,0.30251284812382,0.45532372326612247,0.5821878167835338,0.07752795988664105,0.2415571875,0.06378859375000001,0.33110360398377015,0.20679718749999998,0.12428343749999998,0.0532131205280009,0.04587357142857143,0.34171753041374975,0.06973178571428568,0.24825302023388815,0.40606865753844495,0.5458512073632518,-0.0028115936417305487,0.2728638095238095,0.08016345238095235,0.33885263534116383,0.2744025,0.15992654761904762,7.703329043209925,9.425157253956582,61.74052839632775,13.81947823018611,45.146737507576304,67.87535732517742,93.20165505475775,0.6175461529650246,49.495286243646305,15.286038639261474,59.100826969457515,48.4038233798656,29.415702951005983,532.9,1235.6,9.6,0,3.6818481445312727,13.907495117187523,29292.4275970459,122,2020.584228515625,1.069828467850919,5.198947906494141,78.35539245605469,1.0612517595291138,5.754922389984131,73.39071655273438,1.2732807397842407,0.6242514252662659,11
Wilson,WRG,2023-08-31,38.82297598,-120.255924,8.340979057,0.222982177,0.423984049,4.370000356,,0.135256313197118,0.04867883333333334,0.2914907648636051,0.07275966666666667,0.20659040506401002,0.27920648521970465,0.49188919901652534,-0.10520945688092748,0.24306716666666667,0.08278433333333335,0.2911228592549629,0.3002268333333333,0.20591283333333332,0.0532131205280009,0.04587357142857143,0.34171753041374975,0.06973178571428568,0.24825302023388815,0.40606865753844495,0.5458512073632518,-0.0028115936417305487,0.2728638095238095,0.08016345238095235,0.33885263534116383,0.2744025,0.15992654761904762,7.703329043209925,9.425157253956582,61.74052839632775,13.81947823018611,45.146737507576304,67.87535732517742,93.20165505475775,0.6175461529650246,49.495286243646305,15.286038639261474,59.100826969457515,48.4038233798656,29.415702951005983,532.9,1235.6,9.6,0,3.6818481445312727,13.907495117187523,29292.4275970459,122,2020.584228515625,1.069828467850919,5.198947906494141,78.35539245605469,1.0612517595291138,5.754922389984131,73.39071655273438,1.2732807397842407,0.6242514252662659,11
Wilson,WRI,2023-08-31,38.82200301,-120.256401,10.16255805,0.115219008,0.117773347,4.04828034,,0.18969280286987655,0.051976999999999995,0.24977626633255762,0.07649600000000001,0.15548924767901975,0.2022359946871129,0.43250659382802037,-0.16860412298456703,0.22879099999999997,0.09063650000000001,0.25289821247151206,0.321587,0.22968566666666662,0.0532131205280009,0.04587357142857143,0.34171753041374975,0.06973178571428568,0.24825302023388815,0.40606865753844495,0.5458512073632518,-0.0028115936417305487,0.2728638095238095,0.08016345238095235,0.33885263534116383,0.2744025,0.15992654761904762,7.703329043209925,9.425157253956582,61.74052839632775,13.81947823018611,45.146737507576304,67.87535732517742,93.20165505475775,0.6175461529650246,49.495286243646305,15.286038639261474,59.100826969457515,48.4038233798656,29.415702951005983,532.9,1235.6,9.6,0,3.6818481445312727,13.907495117187523,29978.89132080078,122,2020.584228515625,1.069828467850919,5.198947906494141,78.35539245605469,1.0612517595291138,5.754922389984131,73.39071655273438,1.2732807397842407,0.6242514252662659,11
Wilson,WRJ,2023-08-31,38.82112802,-120.256709,9.310157823,0.043223632,0.182548688,3.491868443,,0.23771458469636605,0.060305833333333336,0.190425546545156,0.08569933333333335,0.0817525267010571,0.11298554805345556,0.33360450732899855,-0.22584691875567806,0.21310866666666667,0.10648933333333338,0.1951310276501406,0.3374508333333334,0.25047016666666666,0.0532131205280009,0.04587357142857143,0.34171753041374975,0.06973178571428568,0.24825302023388815,0.40606865753844495,0.5458512073632518,-0.0028115936417305487,0.2728638095238095,0.08016345238095235,0.33885263534116383,0.2744025,0.15992654761904762,7.703329043209925,9.425157253956582,61.74052839632775,13.81947823018611,45.146737507576304,67.87535732517742,93.20165505475775,0.6175461529650246,49.495286243646305,15.286038639261474,59.100826969457515,48.4038233798656,29.415702951005983,532.9,1235.6,9.6,0,3.6818481445312727,13.907495117187523,29978.89132080078,122,2020.584228515625,1.069828467850919,5.198947906494141,78.35539245605469,1.0612517595291138,5.754922389984131,73.39071655273438,1.2732807397842407,0.6242514252662659,11
