Site,ID,SampleDate,Latitude,Longitude,CO2.umol.m2.s,CH4.nmol.m2.s,N2O.nmol.m2.s,Blue,Green,Red,NIR,SWIR_1,SWIR_2,Flow,Elevation,Slope,Driver,Days_of_data_acquisition_offset,Minimum_temperature,Maximum_temperature,NDVI,NDWI,EVI,SAVI,BSI
Partnership,P2,2015-09-30,36.15754705,-118.274217,0.489732135,-0.100294894,0.016685902,0.05530999999999997,0.07838250000000002,0.11457250000000002,0.2209975,0.41275500000000004,0.2830925,3,2657.00732421875,0.01941980980336666,LANDSAT_7,2.7693536574074074,280.15228271484375,296.26300048828125,0.3171469440057216,-0.47636782684214035,0.17813414836227048,0.19105221585265145,0.22222511943770842
Partnership,P2,2015-10-22,36.15754705,-118.274217,0.594179361,-0.300674802,9.58e-05,0.047774999999999984,0.07678750000000001,0.109925,0.23458250000000003,0.4165775,0.2894175,3,2657.00732421875,0.01941980980336666,LANDSAT_8,4.769464884259259,272.04473876953125,284.9993591308594,0.361842630421689,-0.5067765038378778,0.20291684572410834,0.22141455226863,0.20894708441923737
Partnership,P2,2016-05-24,36.15754705,-118.274217,0.426167402,-0.162842946,0.111663601,0.029047500000000004,0.049699999999999994,0.057784999999999975,0.1931675,0.2339775,0.146665,3,2657.00732421875,0.01941980980336666,LANDSAT_8,2.2308755092592594,271.5,284.8999938964844,0.5394746017672668,-0.5907233367988718,0.2560142282130488,0.27042156461294165,0.07519600526980094
Partnership,P2,2016-06-14,36.15754705,-118.274217,2.998335981,-0.334904642,0.033659977,0.03465750000000001,0.058142499999999986,0.051844999999999974,0.31381,0.2351875,0.12713999999999998,3,2657.00732421875,0.01941980980336666,LANDSAT_7,0.7711710300925926,275.0,289.8999938964844,0.7164266863573588,-0.6873659943137901,0.4798073920357816,0.45393083849801596,-0.1204596380350474
Partnership,P2,2016-07-07,36.15754705,-118.274217,3.486001861,-0.33815875,0.015670177,0.022804999999999992,0.058967500000000006,0.046042499999999986,0.410665,0.2209975,0.1222725,3,2657.00732421875,0.01941980980336666,LANDSAT_8,1.7693370833333333,277.8999938964844,294.5,0.7983720433756836,-0.7488781121408761,0.6013370099595451,0.571683351494579,-0.2620630813923364
Partnership,P2,2016-07-27,36.15754705,-118.274217,2.516979031,-0.624977676,0.019317883,0.029624999999999985,0.06741000000000003,0.06444,0.409125,0.247205,0.134345,3,2657.00732421875,0.01941980980336666,LANDSAT_8,2.2306023032407407,282.6000061035156,300.20001220703125,0.7278515092965063,-0.7170826906732978,0.5476136383495569,0.531066235947266,-0.20621235083608208
Partnership,P2,2016-08-13,36.15754705,-118.274217,2.336710816,-1.19121753,0.030614942,0.025802500000000006,0.06328499999999998,0.06930750000000002,0.36842500000000006,0.2936525,0.168335,3,2657.00732421875,0.01941980980336666,LANDSAT_8,3.230579085648148,279.3999938964844,296.1000061035156,0.6833339996459025,-0.7068170762780571,0.4700884252016146,0.4784693396037783,-0.09338478879220184
Partnership,P2,2016-08-26,36.15754705,-118.274217,2.166445689,-0.815550411,-0.024535611,0.03534499999999999,0.06188250000000001,0.08611000000000002,0.29907,0.3366075,0.19693500000000003,3,2657.00732421875,0.01941980980336666,LANDSAT_8,0.23049831018518518,278.8999938964844,294.3999938964844,0.5528843657510774,-0.65711554844474,0.3433415503573518,0.36087575408391503,0.046463196135648394
Partnership,P2,2016-10-05,36.15754705,-118.274217,0.411820972,-0.123202976,0.006549533,0.04653750000000001,0.07071,0.11952249999999998,0.253585,0.3926525,0.246875,3,2657.00732421875,0.01941980980336666,LANDSAT_7,0.22868505787037038,270.29998779296875,286.8999938964844,0.3593133346287599,-0.5639155706995175,0.20667113217625768,0.23031957691349583,0.15708827408200216
Partnership,P2,2016-10-26,36.15754705,-118.274217,0.34586515,-0.42023568,0.048975842,0.05253249999999998,0.07928999999999997,0.12119999999999997,0.24816749999999999,0.39765750000000005,0.25823250000000003,3,2657.00732421875,0.01941980980336666,LANDSAT_7,5.228707326388889,273.8999938964844,286.6000061035156,0.343743020162846,-0.5157234144889032,0.20072342164526255,0.2190687482566349,0.1683019505192941
