Site,ID,Latitude,Longitude,SampleDate,AGB.g.m2,NIR,peak_date
Upper Clarks,UC4,40.12885303,-120.503759,8/4/2016,623.2,7837,2016-03-07
Alkali Flat,A8,40.09377879,-120.3434385,7/8/2016,649.6,8274,2016-04-24
Poco,P9,39.97208613,-120.5284366,7/7/2016,656.64,7033,2016-03-07
Dixie,X1,39.93496503,-120.333205,7/18/2016,691.36,6428,2016-03-07
Big Flat,F1,40.1495622,-120.45974,8/2/2017,700.96,9758,2017-01-05
Upper Clarks,UC2,40.12923097,-120.50364,8/4/2016,710.4,7846,2016-03-07
McReynolds,M8,39.96043101,-120.489059,8/9/2016,729.6,7699,2016-03-07
Poco,P2,39.9694351,-120.5234843,7/7/2016,731.84,7090,2016-01-28
Dixie,X12,39.93366198,-120.332703,7/18/2016,734.4,8487,2016-11-27
Alkali Flat,A10,40.09414684,-120.3433888,7/8/2016,737.92,8044,2016-04-24
Poco,P6,39.96957659,-120.5230065,7/7/2016,760.96,7389,2016-01-12
Dixie,X3,39.93454602,-120.333458,7/18/2016,787.36,7770,2016-11-27
Big Flat,F3,40.14907463,-120.4601002,8/2/2017,788.8,9997,2017-01-05
Big Flat,F10,40.14806067,-120.4615,8/2/2017,797.92,10615,2017-01-05
Upper Clarks,UC6,40.13476001,-120.506502,8/4/2016,821.6,8073,2016-02-20
Poco,P11,39.97209133,-120.5279566,7/7/2016,824.0,7016,2016-03-07
Dotta,D12,39.90658399,-120.381405,7/7/2016,877.76,7931,2016-11-27
Poco,P4,39.96977356,-120.5236449,7/7/2016,877.76,7076,2016-03-07
Upper Clarks,UC8,40.134442,-120.506847,8/4/2016,888.8,7831,2016-03-07
Big Flat,F5,40.14916884,-120.4596047,8/2/2017,922.24,9607,2017-01-05
McReynolds,M1,39.95647299,-120.496834,8/9/2016,1020.8,7916,2016-01-28
Dixie,X7,39.93445599,-120.33211,7/18/2016,1081.44,9044,2016-11-27
McReynolds,M12,39.95888002,-120.487443,8/9/2016,1147.2,8817,2016-04-24
