Site,ID,SampleDate,Latitude,Longitude,SoilC.kg.m2,SoilN.kg.m2,Roots.kg.m2,percentC,percentN,NDVI_June,NDWI_June,EVI_June,SAVI_June,BSI_June,NDPI_June,NDGI_June,NDVI_Sept,NDWI_Sept,EVI_Sept,SAVI_Sept,BSI_Sept,NDPI_Sept,NDGI_Sept,dBlue,dGreen,dRed,dNIR,dSWIR_1,dSWIR_2,dNDVI,dNDWI,dEVI,dSAVI,dBSI,dNDPI,dNDSI,dNDGI,Cdef,Elevation,AET,Flow,Slope,SWE,Annual_Precipitation,Snow_days,Wet_days,Active_growth_days,Minimum_temperature,Maximum_temperature,SRad,Shallow_Clay,Deep_Clay,Shallow_Sand,Deep_Sand,Shallow_Hydra_Conduc,Deep_Hydra_Conduc,Lithology,Organic_Matter
Calf,CP11,2022-08-03,38.938662,-120.291207,10.1390995,1.028584822,0.816250919,3.678366455,,0.4849012815611545,0.1074260869331474,1.9802245090544288,0.2589516195562226,0.0026984331877857,0.3702051221821785,0.2633384585521672,0.4541726199780688,-0.1141787409728463,0.2509434586486926,0.2555325798132788,0.1487308649714844,0.2950817492130541,0.1621989101307058,7.320064566689561,10.56401562754121,11.513591648969784,40.61310702506868,37.807968039766486,22.0084087268544,100.27512372451956,2.8571767658066527,54.90975387821632,54.7071065751639,5.717218350675861,74.98963776001567,-106.00991105611456,50.30526367130484,484.9,2024.6436767578125,553.1,58,2.5011839711788606,10,1027,159,0,106,276.1358642578125,286.6041259765625,28364.86138916016,5.544496536254883,5.917115211486816,74.01593017578125,72.45289611816406,9.850195722636816,9.081432939798692,5,2.8353241322176683
Calf,CP2,2022-08-03,38.93819798,-120.292089,4.766412229,0.570675008,3.165887494,2.256850316,,0.4369697164277116,0.161373786629197,0.2337589321866717,0.2647064847268416,-0.0134480607436425,0.3591455744956228,0.2085138751231238,0.506320599629804,0.0032528417992414,0.2965005322179125,0.2956993836555973,0.0507730572871823,0.3824246555209771,0.2130598881732885,8.839952284798533,12.82775552140568,14.328254585622709,45.55465929201008,42.85715851076006,27.062639632554948,96.22071765704048,4.56627684790606,57.287044856352566,56.66406385707947,5.633770078722881,70.89813354274678,-100.98805110139544,45.18087382103998,485.3,2023.5753173828125,554.0,51,2.159868774561712,10,1031,159,0,131,276.14849853515625,286.6298522949219,28367.61677551269,5.279732704162598,5.612524509429932,77.4543685913086,74.22824096679688,20.5481003483658,13.862986157597147,5,2.21142630524549
Calf,CP20,2022-08-03,38.93820301,-120.292458,11.0476462,0.879324416,2.174725663,5.770869594,,0.43302577413038496,0.1655539266572102,0.209061375813493,0.2676521568147535,-0.025693832486545,0.3671848363111258,0.2039969550299289,0.5240840028144027,0.0541722031539439,0.3092850872244982,0.3101988812168579,0.0133477131670997,0.4329294808396687,0.2270345060809837,9.157463345352564,13.074341752518317,15.045319196428576,46.055466314102574,42.91044787774725,26.141097673420333,95.42716287869726,6.0881883815101,56.50545460808248,56.16461001644974,5.436675005465706,73.09920060314508,-100.70257927065448,42.463916774867954,485.8,2023.2607421875,554.8000000000001,48,1.763445990341192,10,1031,159,0,138,276.1586303710937,286.64996337890625,28370.150413513184,4.940345287322998,5.536168098449707,78.02349853515625,75.533203125,10.609364329007796,9.247780474252732,5,3.567925587515266
Wilson,WRA,2023-08-31,38.82586296,-120.256128,8.011101293,0.034853184,0.830302096,4.530850199,,0.5626409191264756,0.0603194291588745,0.4105498482219908,0.3487495998036642,-0.0038028039173042,0.42491772938069,0.3020254344537267,0.5230958683145058,-0.0339360515816034,0.3232632319135752,0.3183378374530294,0.0745105368972434,0.3759618876629007,0.236214307781133,8.289113962104073,12.21792966204751,11.558360189479636,48.25932255514705,31.54666853930996,17.220679779411764,100.35316834085152,29.49746308877867,66.14168350467025,63.17235267629877,-18.474268661717225,84.57363738385385,-77.22811992699455,61.40253323063311,402.6,2021.143310546875,509.7000000000001,52,1.490111509969663,29,1729,200,0,125,275.427490234375,285.242919921875,28595.66931152344,5.282156467437744,5.668600559234619,77.45476531982422,74.3735580444336,14.471638073773171,12.590678604465923,11,4.893380546835823
Wilson,WRB,2023-08-31,38.825611,-120.256229,9.352367289,0.196275678,0.264990031,4.138640128,,0.48850940125194836,0.019280401941459,0.5003531298781383,0.2841742293842009,0.0566121979460365,0.3341036017082027,0.2507863158751729,0.5153997151178793,-0.0459041167909888,0.3026481523013438,0.3036228284065697,0.0893883928299788,0.3588548916311169,0.2204010827085396,8.555993788178734,12.247266432409502,12.01424165158371,44.6399095361991,32.46755179440045,18.34283035492081,96.53385156342776,21.661675059347083,58.8148343983852,58.05972148215099,-10.226804840075912,77.79398867927627,-79.93797473544649,56.54651083337609,402.7000000000001,2020.7333984375,509.7000000000001,62,1.6030325165764716,29,1729,204,0,118,275.4390869140625,285.2439270019531,28596.354553222656,5.346104145050049,5.718906402587891,77.1395492553711,74.14461517333984,13.847876161389468,12.58661153831228,11,4.830488745200168
Wilson,WRC,2023-08-31,38.824906,-120.255856,9.589787379,0.258670797,0.783192757,4.863888768,,0.5908485994548142,0.1427682905765213,0.3677388722042261,0.3650924500509597,-0.0685804360652682,0.4870826973714567,0.3401465124857994,0.504006093866506,-0.0321012626704171,0.3089766651114541,0.3066178500182593,0.0773291530291715,0.369195554881787,0.2165696348544105,9.64650520616516,13.43348627771493,12.870691414309952,48.41432732664027,30.14442928337104,16.5709797655543,101.75837090138396,33.90604481019506,63.47916549029456,62.29895256412104,-20.92158274297532,87.70317991726947,-75.55434979035348,61.53266354912347,402.7000000000001,2019.640869140625,509.8,81,0.5712990267108481,29,1729,195,0,116,275.4559326171875,285.23638916015625,28597.202209472656,6.103538990020752,6.4460554122924805,75.54378509521484,72.79344940185547,21.15678077316788,16.75566790497261,11,4.7509428540986
Wilson,WRF,2023-08-31,38.823396,-120.256299,7.437450198,0.220126802,0.259101363,4.259181328,,0.5465832208478222,0.0721590273426888,0.3290974536089677,0.3363146141003998,-0.0004033707733197,0.409113800447793,0.2825549042614617,0.4735254390554491,-0.0558844364039542,0.2807555898382033,0.2857594411589635,0.1065849502471765,0.3216061055428177,0.1820079435601031,10.352242746040726,14.387984185520365,14.702279274604074,45.38643392251132,33.93968673218326,20.02249665582579,93.36039165684237,19.77744330180259,54.56849782901974,55.43803246192577,-6.262007440311912,74.47787362142952,-80.76287886021127,50.751562122385394,403.2000000000001,2018.03271484375,510.1,140,0.643360964850693,28,1731,195,0,116,275.520263671875,285.2508850097656,28601.14640808105,5.408845901489258,5.795992374420166,77.35753631591797,74.32072448730469,16.72440836545192,13.318394525714403,11,4.981622648492385
Wilson,WRG,2023-08-31,38.82297598,-120.255924,8.340979057,0.222982177,0.423984049,4.370000356,,0.5516143110130501,0.0612025400326173,0.3444132625749282,0.3540069834637341,0.0050169935426804,0.4041952001556028,0.2915094961069263,0.5025561402630102,-0.030604819031923,0.3204958177437154,0.3155109702350462,0.0755375589341626,0.3646049965735895,0.2148979721506086,10.265969699095022,14.204529641402717,14.026586570418552,51.71316548585973,36.21049583484163,20.85791225876697,99.58333140426863,26.08677703694854,65.75572138155496,63.99873387436912,-13.847667884186512,81.60127605666548,-80.79761171281014,57.77039392455056,403.3,2018.1793212890625,510.2000000000001,149,0.9561288665946184,28,1729,192,0,129,275.5367736816406,285.243408203125,28602.01136779785,4.826138973236084,5.496337890625,79.07466125488281,75.52645111083984,10.68985443148468,9.170899624063312,11,4.27140810438724
Wilson,WRI,2023-08-31,38.82200301,-120.256401,10.16255805,0.115219008,0.117773347,4.04828034,,0.4242107881771319,-0.1174513054990781,0.2305587416058505,0.2528501488622007,0.1621339905618622,0.2197334795868869,0.160802476677565,0.42712384426071937,-0.1396382406861282,0.2421139703516332,0.2474327705164763,0.1712395697902228,0.2385714989296136,0.1395361604621357,10.191452122863248,13.914728732371795,15.529251658119655,40.30273651121794,44.03315239690171,29.58249325320513,78.17791436763522,-8.507258809474191,43.77978484470343,45.418453784113176,17.389643489717358,48.14249469452376,-90.1274474098562,33.832166202365514,403.7000000000001,2017.52001953125,510.4,123,1.0751050487869898,28,1731,192,0,123,275.5899353027344,285.2568359375,28605.24697875977,5.029081344604492,5.595425605773926,78.21024322509766,74.8768081665039,13.46063393297533,11.271415742653362,11,4.683016306839413
Wilson,WRJ,2023-08-31,38.82112802,-120.256709,9.310157823,0.043223632,0.182548688,3.491868443,,0.31811715285449715,-0.179693242540063,0.1584638892924098,0.1881372625450195,0.2165595173736711,0.1187701868224502,0.0796078442518338,0.3272637608791753,-0.1989915863065301,0.1855452164393111,0.1929891895016386,0.2247434810149685,0.1384546117521443,0.0655536438473552,9.186329560237557,12.870609359917044,15.576056083144795,34.169345065516595,46.77423787943062,32.99231780401584,59.16500340337007,-23.62786539063166,32.71250824753677,34.21631958742326,28.61490704395507,29.034830625621584,-88.38263616284735,18.54472023204074,404.2000000000001,2017.47021484375,510.7000000000001,91,1.0765120977003255,27,1732,191,0,107,275.6435852050781,285.2701721191406,28608.457595825195,4.7189621925354,5.478314399719238,79.5,75.6952133178711,9.096462985984491,9.050510690211556,11,4.005165646580398
