ID,Burn_year,Sides
499,2011,All sides
500,2011,All sides
501,2011,All sides
505,2021,At least 1 side
506,2021,At least 1 side
507,2021,At least 1 side
509,2021,All sides
512,2021,All sides
513,2021,At least 1 side
521,2021,At least 1 side
534,2021,At least 1 side
557,2021,At least 1 side
565,2015,All sides
568,2015,All sides
570,2015,At least 1 side
572,2015,All sides
577,2015,All sides
578,2015,All sides
580,2015,All sides
583,2015,All sides
585,2015,All sides
589,2015,All sides
592,2015,All sides
593,2015,All sides
594,2015,All sides
595,2015,All sides
596,2015,All sides
597,2015,At least 1 side
598,2010,At least 1 side
599,2015,All sides
600,2015,All sides
601,2010,All sides
602,2010,All sides
603,2015,All sides
604,2015,All sides
605,2015,All sides
606,2015,All sides
607,2015,At least 1 side
608,2015,At least 1 side
609,2015,All sides
611,2015,All sides
613,2015,All sides
614,2015,At least 1 side
615,2015,All sides
616,2015,All sides
617,2015,All sides
618,1997,All sides
619,1997,All sides
620,1997,All sides
622,2006,At least 1 side
624,2021,All sides
626,2015,All sides
627,2021,All sides
630,2020,All sides
631,2021,All sides
632,1997,At least 1 side
633,2015,All sides
637,2002,All sides
638,2002,All sides
639,2002,All sides
640,2002,All sides
641,2002,All sides
642,2002,All sides
643,2002,All sides
644,2002,All sides
645,2002,All sides
646,2002,All sides
660,2003,At least 1 side
662,2020,All sides
663,2020,All sides
664,2020,All sides
665,2020,All sides
666,2020,All sides
667,2020,All sides
668,2020,All sides
669,2020,All sides
670,2002,At least 1 side
671,2002,All sides
678,2015,All sides
680,2021,All sides
684,2020,All sides
685,2017,All sides
686,2017,All sides
687,2020,All sides
688,2020,All sides
689,2020,At least 1 side
690,2017,All sides
691,2011,All sides
692,2017,All sides
693,2017,All sides
694,2020,All sides
695,2020,All sides
696,2020,All sides
697,2021,All sides
698,2021,At least 1 side
711,2006,At least 1 side
712,2005,At least 1 side
713,2005,At least 1 side
713,2003,At least 1 side
718,2009,At least 1 side
720,2009,All sides
721,2021,All sides
722,1990,All sides
723,1990,All sides
724,1990,All sides
725,1990,All sides
726,1990,All sides
727,2016,All sides
728,1990,All sides
729,1990,All sides
730,1990,All sides
731,1990,All sides
732,1990,All sides
733,2016,All sides
734,2016,All sides
735,2021,At least 1 side
736,1990,All sides
737,1990,All sides
738,1990,All sides
739,1990,All sides
740,1990,All sides
741,1990,All sides
742,1990,All sides
743,1990,All sides
744,1990,All sides
745,2016,All sides
746,2020,All sides
748,2020,At least 1 side
750,2015,All sides
751,2015,All sides
753,2015,All sides
754,2015,All sides
755,2015,All sides
756,2015,All sides
757,2015,All sides
758,2008,All sides
759,2015,All sides
760,2015,All sides
763,2015,All sides
764,2015,At least 1 side
765,2015,All sides
767,2015,All sides
769,2015,All sides
771,2015,All sides
772,2015,All sides
773,2015,All sides
774,2015,All sides
775,2015,All sides
776,2015,All sides
777,2015,All sides
778,2015,All sides
781,2015,All sides
782,2008,At least 1 side
784,2015,All sides
785,2015,At least 1 side
786,2008,All sides
787,2017,At least 1 side
789,2015,All sides
790,2008,All sides
792,2015,All sides
795,2015,All sides
796,2015,All sides
797,2015,All sides
800,2015,All sides
801,2015,All sides
802,2015,All sides
803,2008,All sides
804,2015,All sides
807,2015,All sides
810,2008,All sides
813,2015,All sides
814,2015,All sides
816,2015,All sides
817,2015,All sides
818,2008,At least 1 side
819,2015,All sides
837,2008,All sides
840,2008,At least 1 side
875,2008,At least 1 side
1039,2020,All sides
1047,2020,All sides
1056,2020,At least 1 side
1057,2020,All sides
1092,2020,At least 1 side
1094,2020,All sides
1108,2020,All sides
1140,2020,At least 1 side
1168,2020,All sides
1175,2020,All sides
1180,2020,All sides
1188,2020,All sides
1192,2020,All sides
1197,2020,All sides
1204,2020,All sides
1206,2020,All sides
1207,2020,All sides
1218,2020,All sides
1219,2020,All sides
1225,2020,All sides
1227,2020,All sides
1263,2020,All sides
1275,2020,All sides
1285,2020,All sides
1288,2020,All sides
1289,2020,At least 1 side
1290,2020,All sides
1292,2020,All sides
1293,2020,All sides
1295,2020,All sides
1296,2020,All sides
1300,2020,All sides
1301,2020,All sides
1304,2020,All sides
1305,2020,All sides
1308,2020,At least 1 side
1312,2020,All sides
1315,2020,All sides
1316,2020,All sides
1319,2020,All sides
1323,2020,All sides
1325,2020,All sides
1328,2020,All sides
1331,2020,All sides
1334,2020,All sides
1335,2020,All sides
1336,2020,All sides
1338,2020,All sides
1339,2020,All sides
1340,2020,All sides
1341,2020,All sides
1342,2020,All sides
1346,2020,All sides
1347,2020,All sides
1348,2020,All sides
1350,2020,All sides
1351,2020,At least 1 side
1355,2020,All sides
1357,2020,All sides
1358,2020,All sides
1360,2020,All sides
1361,2020,All sides
1362,2020,All sides
1363,2020,All sides
1364,2020,All sides
1365,2020,All sides
1366,2020,All sides
1371,2020,All sides
1376,2020,All sides
1378,2020,All sides
1379,2020,All sides
1381,2020,All sides
1383,2020,All sides
1384,2020,All sides
1388,2020,All sides
1389,2020,All sides
1390,2020,All sides
1391,2020,All sides
1394,2020,All sides
1397,2020,All sides
1399,2020,All sides
1400,2020,All sides
1402,2020,All sides
1404,2020,All sides
1408,2015,All sides
1413,2020,All sides
1414,2020,All sides
1416,2020,All sides
1419,2020,All sides
1420,2020,At least 1 side
1421,2020,All sides
1423,2020,All sides
1424,2020,All sides
1427,2020,All sides
1428,2020,All sides
1430,2020,All sides
1435,2020,At least 1 side
1436,2020,All sides
1437,2020,All sides
1441,2020,At least 1 side
1444,2020,At least 1 side
1447,2020,All sides
1448,2020,At least 1 side
1449,2020,At least 1 side
1449,1988,At least 1 side
1453,2020,All sides
1460,2020,All sides
1463,2020,All sides
1464,2020,All sides
1471,2020,All sides
1472,2020,All sides
1474,2020,All sides
1475,2020,All sides
1478,2020,All sides
1480,2020,All sides
1485,2020,All sides
1486,2020,All sides
1494,2020,All sides
1495,2020,All sides
1497,2020,All sides
1498,2020,All sides
1500,2020,All sides
1501,2020,All sides
1508,2020,All sides
1509,2020,At least 1 side
1511,2020,All sides
1514,2013,All sides
1515,2020,All sides
1516,2020,All sides
1517,2020,All sides
1520,2020,All sides
1521,2020,All sides
1522,2020,All sides
1526,2020,All sides
1527,2020,All sides
1529,2020,All sides
1530,2020,All sides
1535,2020,All sides
1538,2020,All sides
1539,2020,All sides
1540,2020,All sides
1541,2020,All sides
1543,2020,All sides
1544,2020,All sides
1546,2020,All sides
1548,2020,All sides
1549,2020,All sides
1551,2020,All sides
1552,2020,All sides
1555,2020,All sides
1556,2020,All sides
1557,2020,All sides
1558,2020,All sides
1559,2020,All sides
