Site,ID,SampleDate,Latitude,Longitude,SoilC.kg.m2,SoilN.kg.m2,Roots.kg.m2,percentC,percentN
Dotta,DO5,2016-06-29,39.90274399,-120.368636,8.783139195,0.655006979,4.496401014,3.208847183,
Dotta,DO6,2016-06-29,39.90298379,-120.3688082,11.0728706,0.818131558,1.244647198,3.710723245,
Dotta,DO7,2016-07-07,39.90637503,-120.381626,9.777318716,0.677042671,2.775253126,4.67674116,
Dotta,DO8,2016-07-07,39.90622348,-120.3813162,8.452499553,0.599027545,1.026144013,4.467057727,
Dotta,DO9,2016-07-07,39.90608602,-120.3810322,9.915235922,0.718163687,4.914996607,5.136948107,
Lower Clarks,LC1,2016-07-27,40.12300942,-120.5030499,9.138479577,0.714038937,3.113414221,2.792785574,
Lower Clarks,LC10,2016-07-27,40.12339767,-120.5046246,14.70904926,1.070590423,3.77224532,4.498771599,
Lower Clarks,LC12,2016-07-27,40.12289886,-120.5043605,7.147938721,0.630972635,1.784091295,2.262303958,
Lower Clarks,LC3,2016-07-27,40.12348308,-120.5033699,8.183320313,0.760528074,3.824718593,2.566291775,
Lower Clarks,LC4,2016-07-27,40.12336364,-120.5036824,9.280781858,0.667363198,1.282680016,2.585258736,
Lower Clarks,LC6,2016-07-27,40.12288084,-120.5033593,4.040703887,0.240178343,6.261810624,1.175045799,
Lower Clarks,LC7,2016-07-27,40.1230002,-120.5040419,8.78364274,0.69446457,6.704918266,2.820474648,
Lower Clarks,LC9,2016-07-27,40.12349842,-120.5043098,10.07449082,0.786080346,0.868724193,3.123681868,
Lower Dixie,LX1,2016-07-18,39.93990096,-120.338961,5.677460429,0.44984847,2.786913853,1.779412475,
Lower Dixie,LX10,2016-07-18,39.93799802,-120.33828,12.15962801,0.792538149,1.247697834,3.914327676,
Lower Dixie,LX11,2016-07-18,39.93820396,-120.338482,11.3471777,0.826650801,0.215723458,5.015723237,
Lower Dixie,LX12,2016-07-18,39.93839599,-120.33869,12.14995866,0.859558888,0.717134737,4.976808899,
Lower Dixie,LX2,2016-07-18,39.93969301,-120.338712,7.918917532,0.559482225,3.848040048,3.076851313,
Lower Dixie,LX3,2016-07-18,39.93953803,-120.338442,6.969885561,0.560948119,0.262366367,1.995139076,
Lower Dixie,LX4,2016-07-18,39.93929202,-120.338708,6.186286822,0.508734285,0.483920188,2.053979421,
Lower Dixie,LX5,2016-07-18,39.93949603,-120.338936,8.91038439,0.702989997,6.314283897,3.718440385,
Lower Dixie,LX6,2016-07-18,39.93969703,-120.339184,10.16310309,0.788162928,1.428439109,3.104760155,
Lower Dixie,LX7,2016-07-18,39.93859003,-120.338434,12.8026807,0.90287312,0.606357826,5.079098405,
Lower Dixie,LX8,2016-07-18,39.938355,-120.338213,14.47897647,1.037464105,0.145759093,5.248172811,
Lower Dixie,LX9,2016-07-18,39.93814697,-120.338016,8.424498018,0.609520557,0.903706375,3.114847542,
McReynolds,M1,2016-08-09,39.95647299,-120.496834,6.897615461,1.377460968,10.6520745,2.030224187,
McReynolds,M10,2016-08-09,39.95878103,-120.486974,23.01332402,1.67613551,3.56818259,9.351742796,
McReynolds,M11,2016-08-09,39.95906099,-120.48712,17.62138323,1.406933689,4.640969512,7.973552747,
McReynolds,M4,2016-08-09,39.95659696,-120.496731,4.355089526,0.438689232,3.988009217,1.236153233,
McReynolds,M5,2016-08-09,39.96023596,-120.488891,5.024347546,0.563543135,2.320484756,1.362092808,
McReynolds,M7,2016-08-09,39.960616,-120.488743,13.54147056,1.20844892,4.920826971,4.483869644,
McReynolds,M9,2016-08-09,39.95863896,-120.487278,15.05175886,1.265052277,10.29642231,5.88275244,
Poco,PO1,2016-07-07,39.96934005,-120.5231581,7.664053632,0.533243208,4.186201143,2.678415607,
Poco,PO10,2016-07-07,39.97230976,-120.5282042,6.450532828,0.499849084,1.008652921,2.644587503,
Poco,PO11,2016-07-07,39.97209133,-120.5279566,4.554110268,0.34216377,1.684975112,2.058063975,
Poco,PO3,2016-07-07,39.96953015,-120.5237733,7.998668129,0.524859582,0.874554556,3.063692882,
Poco,PO5,2016-07-07,39.96969561,-120.5233141,6.941850828,0.517813565,6.564989537,3.060401068,
Poco,PO6,2016-07-07,39.96957659,-120.5230065,6.022418827,0.589221451,8.197491375,2.696943943,
Poco,PO7,2016-07-07,39.97169059,-120.5279623,3.843319514,0.370864951,2.565360032,1.266743483,
Poco,PO9,2016-07-07,39.97208613,-120.5284366,6.654946254,0.585012565,2.01147548,2.124192548,
Upper Clarks,UC1,2016-08-04,40.12896904,-120.503472,11.25044291,0.823254369,6.634953901,4.870800774,
Upper Clarks,UC10,2016-08-04,40.13574597,-120.508032,12.09169661,0.956426421,10.79783359,4.349239117,
Upper Clarks,UC11,2016-08-04,40.135764,-120.508365,11.82362349,1.034946079,11.31673596,4.145340908,
Upper Clarks,UC4,2016-08-04,40.12885303,-120.503759,7.156007254,0.702811883,4.955809153,2.260808689,
Upper Clarks,UC6,2016-08-04,40.13476001,-120.506502,10.69491919,0.804331356,7.771874824,4.495976926,
Upper Clarks,UC7,2016-08-04,40.13472598,-120.506871,7.475499641,0.549624059,9.246956843,2.78552708,
Upper Clarks,UC9,2016-08-04,40.13546803,-120.508009,9.703267072,0.824023055,2.833556763,4.02593238,
Clover Valley,1N,2021-08-03,39.94892,-120.4254434,,,1.76,,
Clover Valley,2N,2021-08-03,39.9494351,-120.4255564,,,1.46,,
Clover Valley,3N,2021-08-03,39.9499838,-120.4257127,,,0.79,,
Clover Valley,4N,2021-08-03,39.9505136,-120.4258111,,,1.98,,
Clover Valley,5N,2021-08-03,39.9510511,-120.4258771,,,3.17,,
Clover Valley,1W,2021-08-03,39.9484738,-120.4261028,,,1.15,,
Clover Valley,2W,2021-08-03,39.948583,-120.4267888,,,2.74,,
Clover Valley,3W,2021-08-03,39.948673,-120.4274898,,,1.7,,
Clover Valley,4W,2021-08-03,39.9487455,-120.4281782,,,2.73,,
Clover Valley,5W,2021-08-03,39.9488458,-120.4288718,,,1.47,,
Clover Valley,1E,2021-08-03,39.9481445,-120.4247053,,,2.17,,
Clover Valley,2E,2021-08-03,39.947927,-120.424065,,,1.98,,
Clover Valley,3E,2021-08-03,39.9475798,-120.423491,,,2.35,,
Clover Valley,4E,2021-08-03,39.9472143,-120.4230205,,,3.14,,
Clover Valley,5E,2021-08-03,39.9467815,-120.4226245,,,0.63,,
Clover Valley,1S,2021-08-03,39.947781,-120.4254856,,,3.49,,
Clover Valley,2S,2021-08-03,39.9472725,-120.4255983,,,1.56,,
Clover Valley,3S,2021-08-03,39.9467325,-120.4257421,,,1.85,,
Clover Valley,4S,2021-08-03,39.9462052,-120.4259182,,,2.4,,
Clover Valley,5S,2021-08-03,39.9456816,-120.426184,,,1.38,,
Bear Trap,BT12,2022-10-31,39.64234063,-120.502013,15.13970332,1.011360288,2.023136207,6.205155361,
Bear Trap,BT12,2017-10-15,39.64234063,-120.502013,8.782289657,,5.404747158,3.649053587,
Bear Trap,BT17,2022-10-31,39.6415073,-120.499287,4.899180711,0.376941677,0.326500368,3.424852333,
Bear Trap,BT17,2017-10-15,39.6415073,-120.499287,9.884147159,,0.413955823,6.884637271,
Bear Trap,BT20,2022-10-31,39.64204961,-120.500056,7.672221083,0.555808492,0.979501103,4.847404949,
Bear Trap,BT20,2017-10-15,39.64204961,-120.500056,7.123822657,,6.664105719,4.410429896,
Church,CHU1,2022-07-26,39.67556398,-120.623505,3.497808774,0.514018607,1.521724928,1.402231229,
Church,CHU3,2022-07-26,39.67523599,-120.624021,4.727805261,0.46179661,3.62274134,2.764679631,
Church,CHU4,2022-07-26,39.67499996,-120.624161,2.147119175,0.323136754,4.349451327,0.848006321,
Church,CHU6,2022-07-26,39.67453401,-120.623905,4.115478407,0.478658405,2.316224105,1.684404187,
Freeman,FM1,2021-08-03,39.67512962,-120.605471,7.083265173,0.492080834,6.32011426,3.251038893,
Freeman,FM10,2017-07-27,39.67479697,-120.604832,7.206332425,0.733951512,2.804404944,2.895545537,
Freeman,FM10,2021-08-03,39.67479697,-120.604832,6.305606044,0.414672605,1.171903105,2.366184215,
Freeman,FM12,2017-07-27,39.675262,-120.60519,6.809518247,0.656433662,3.031789128,3.66927208,
Freeman,FM12,2021-08-03,39.675262,-120.60519,8.038220391,0.697214749,4.092915323,4.740789311,
Freeman,FM14,2017-07-27,39.67518322,-120.604698,7.406124147,0.854676494,5.119059337,3.668689198,
Freeman,FM14,2021-08-03,39.67518322,-120.604698,8.426710563,0.528530046,2.68779767,3.134760538,
Freeman,FM18,2017-07-27,39.67425002,-120.604,14.09427861,1.283194593,5.981953166,8.406265662,
Freeman,FM18,2021-08-03,39.67425002,-120.604,11.67761807,1.207100052,3.218360767,8.399669071,
Freeman,FM19,2021-08-03,39.6755519,-120.604576,8.992969491,1.124987328,3.294155495,5.336613652,
Freeman,FM24,2021-08-03,39.67438147,-120.603687,10.33404857,0.984363281,2.198047118,7.075535085,
Freeman,FM25,2021-08-03,39.67394442,-120.603972,12.99870014,1.165467779,3.037619492,7.638403223,
Freeman,FM27,2021-08-03,39.67592097,-120.605856,5.013618125,0.327704763,7.398731547,2.961517779,
Freeman,FM28,2021-08-03,39.67569583,-120.605703,4.646270865,0.323962888,2.180556027,1.754050788,
Freeman,FM30,2021-08-03,39.67409125,-120.605113,9.373852037,0.835688444,6.943963178,13.63745679,
Freeman,FM6,2021-08-03,39.67395835,-120.604603,10.16287117,1.118501389,9.748368122,6.767365316,
Freeman,FM8,2021-08-03,39.67432903,-120.604481,10.47837556,0.842958438,4.442737147,5.942539688,
Goodrich Home Ranch,GOCR01,2024-06-19,40.32747,-120.932765,8.76476228,0.598499099,3.533200408,4.142834017,0.279984431
Goodrich Home Ranch,GOCR02,2024-06-19,40.3253172,-120.933784,11.28849748,0.763033623,2.261248261,4.356026683,0.294500921
Goodrich Home Ranch,GOCR04,2024-06-19,40.32122055,-120.935921,8.42638544,0.623365224,1.439510496,3.4665884,0.258165557
Goodrich Home Ranch,GOCR06,2024-06-19,40.31916361,-120.936761,12.67837448,0.865171971,2.638122971,4.559163161,0.310822521
Goodrich Home Ranch,GOCR07,2024-06-19,40.31697078,-120.937557,9.609968845,0.685915396,1.607606186,4.202671068,0.300203144
Goodrich Home Ranch,GOCR08,2024-06-19,40.31543165,-120.939651,10.25329018,0.735475345,4.375279838,3.871090708,0.27610292
Goodrich Home Ranch,GOCR09,2024-06-19,40.31346723,-120.941135,5.411342496,0.363046809,2.066922238,1.783277513,0.119420205
Goodrich Home Ranch,GOCR21,2024-06-19,40.31931095,-120.941152,9.076112948,0.586363532,1.147178647,3.246012284,0.209837813
Goodrich Home Ranch,GOCR22,2024-06-19,40.32112576,-120.939527,12.19423991,0.775675312,2.243582259,4.338311616,0.274533156
Goodrich Home Ranch,GOCR23,2024-06-19,40.32275803,-120.937821,11.42538404,0.762377786,3.615641751,3.949667958,0.264667592
Goodrich Home Ranch,GOCR24,2024-06-19,40.3200077,-120.937935,12.38205669,0.846665403,1.683612089,4.066313307,0.282314334
Goodrich Home Ranch,GOCR25,2024-06-19,40.31820594,-120.939562,12.38591785,0.809944712,2.184695585,5.696641941,0.371334254
Goodrich Home Ranch,HORA23,2024-06-21,40.31606962,-120.934853,28.65130752,1.858437259,3.091550356,13.18386314,0.815157114
Goodrich Home Ranch,HORA24,2024-06-21,40.31383608,-120.936702,5.830392202,0.406690399,,22.9903455,1.56255693
Goodrich Home Ranch,HORA27,2024-06-21,40.30599661,-120.94131,16.99350571,1.228119098,1.637049522,7.908207067,0.572953838
Goodrich Home Ranch,HORA29,2024-06-21,40.29899701,-120.937286,6.725772311,0.441349096,3.785641443,4.102340062,0.264352349
Goodrich Home Ranch,HORA32,2024-06-21,40.29345976,-120.921215,8.940268351,0.881846017,0.459316053,4.192832432,0.425160687
Goodrich Home Ranch,HORA34,2024-06-21,40.28898547,-120.924378,7.105407001,0.39493255,,12.16723813,0.677722459
McKenzie Meadows,MKME24A,2024-06-21,40.35554654,-120.892194,5.149750024,,1.394289823,13.33501688,
McKenzie Meadows,MKME04,2024-06-06,40.34638253,-120.947063,11.63850247,,1.966814893,8.471667158,0.656492717
McKenzie Meadows,MKME11,2024-06-06,40.34290186,-120.929279,9.400917299,,1.018739451,2.971497918,0.191284902
McKenzie Meadows,MKME12,2024-06-06,40.34075626,-120.935231,3.444850945,,3.073884354,1.112870002,0.086801675
McKenzie Meadows,MKME13,2024-06-06,40.34986462,-120.940841,4.012608254,,2.264035946,1.682868342,0.110303309
McKenzie Meadows,MKME14,2024-06-06,40.34996923,-120.946725,12.37841084,,4.375279839,3.891823866,0.277012263
McKenzie Meadows,MKME18,2024-06-06,40.34499432,-120.920385,7.122418038,,0.294433367,2.086490193,0.127769388
McKenzie Meadows,MKME27,2024-06-06,40.33925928,-120.93135,8.734201918,,0.359208708,2.879196773,0.201828981
McKenzie Meadows,MKME32,2024-06-06,40.34346146,-120.9221,11.58114075,,2.273025596,4.722329088,0.329615913
McKenzie,MKM-S1,2021-11-01,40.34857263,-120.903037,8.840941139,0.694998041,0.647170372,4.898216319,
McKenzie,MKM-S10,2021-11-01,40.34692628,-120.9146379,6.679194545,0.415919635,2.973485491,2.529960729,
McKenzie,MKM-S11,2021-11-01,40.34627417,-120.9169383,8.940533739,0.834010147,1.813243114,4.653653645,
McKenzie,MKM-S12,2021-11-01,40.34420472,-120.9155815,6.962082992,0.379727845,0.822081283,3.039144852,
McKenzie,MKM-S2,2021-11-01,40.34838086,-120.9065915,5.207255164,0.376700605,1.364305107,4.758830873,
McKenzie,MKM-S3,2021-11-01,40.34809539,-120.9089928,15.2617461,1.273985793,3.848040048,10.10244748,
McKenzie,MKM-S4,2021-11-01,40.34756548,-120.9114546,12.40255964,0.874437347,1.679144748,5.762674594,
McKenzie,MKM-S5,2021-11-01,40.34984831,-120.911333,10.66714948,0.721370156,1.568367838,3.20428367,
McKenzie,MKM-S6,2021-11-01,40.352113,-120.9113173,12.55187791,0.827183494,3.81888823,5.367219454,
McKenzie,MKM-S7,2021-11-01,40.34874878,-120.9134959,12.34023428,0.789021859,1.416778381,5.57628915,
McKenzie,MKM-S8,2021-11-01,40.34518282,-120.9111405,9.707193631,0.561863089,0.583036371,4.482827599,
McKenzie,MKM-S9,2021-11-01,40.34625894,-120.9126194,5.923122239,0.621023534,1.725787658,2.534288766,
Mountain Meadows Creek,MMC1,2021-11-19,40.26257069,-120.903037,8.673160157,0.344972612,0.116607274,2.751596309,
Mountain Meadows Creek,MMC10,2021-11-19,40.2698987,-120.911365,16.00529118,0.90858453,1.072786923,6.027978274,
Mountain Meadows Creek,MMC11,2021-11-19,40.26744365,-120.911647,5.494329178,0.291535568,0.064134001,2.376109411,
Mountain Meadows Creek,MMC12,2021-11-19,40.26509857,-120.911821,4.173169465,0.171052409,0.180741275,1.666658492,
Mountain Meadows Creek,MMC2,2021-11-19,40.26375153,-120.902285,4.822620095,0.173665909,0.011660728,1.906197516,
Mountain Meadows Creek,MMC3,2021-11-19,40.2650549,-120.901621,6.057650741,0.217046467,0.553884552,2.248891206,
Mountain Meadows Creek,MMC4,2021-11-19,40.263754,-120.905938,10.91816545,0.588336706,0.577206008,4.804305228,
Mountain Meadows Creek,MMC5,2021-11-19,40.26592038,-120.905606,7.678063146,0.317404716,0.97367074,2.810276776,
