UniqueID,FireID,Fire_Date,Description,Image_Date,Image_Time,Days_Difference,No_Pixels,NDWI_0_total,NDWI_0_fraction,NDWI_03_total,NDWI_03_fraction,BSI_mean,BSI_median,BSI_std,EVI_mean,EVI_median,EVI_std,NDMI_mean,NDMI_median,NDMI_std,SAVI_mean,SAVI_median,SAVI_std,ANPP_mean,ANPP_std
SNM10,2091.0,2014-08-01,entirely_within,2014-07-24,18:45:09.4461350Z,7.2186406712962965,22,22,0,22,0,0.2320858834184741,0.23302356962600987,0.00908023927018803,0.1481556585316568,0.15010341866999677,0.010371964576696526,-0.2134974923271655,-0.21189732882281503,0.015024005185520883,-0.3891295522634568,-0.39482372989668774,0.014836932612377176,44.985792565150405,13.03881746637639
SNM10023,3647.0,2021-09-17,entirely_within,2021-09-08,18:28:11.9895040Z,8.230416793981481,1,1,0,1,0,-0.4200948965916911,-0.4200948965916911,0,0.7185552239895604,0.7185552239895604,0,0.4770788175978458,0.4770788175978458,0,-0.7970708181822549,-0.7970708181822549,0,192.64358655954447,114.44886812468411
SNM10059,3647.0,2021-09-17,entirely_within,2021-09-08,18:28:11.9895040Z,8.230416793981481,5,5,0,5,0,-0.30513282411074377,-0.35839965171320937,0.09032229179092563,0.5956258270498545,0.6589055667178821,0.14318786086399587,0.37543132191042483,0.4231782300777207,0.08159942957932366,-0.7513758903596904,-0.7787832826917321,0.055524618868380685,166.1090483899091,97.54673036111502
SNM10065,3647.0,2021-09-17,entirely_within,2021-09-08,18:28:11.9895040Z,8.230416793981481,33,33,0,33,0,-0.16651239985453561,-0.16300975661520983,0.06968035864747332,0.5855372665030181,0.5899509593048268,0.07412439369692995,0.2399815057384993,0.2391432207286688,0.06983170579855427,-0.6848732007081126,-0.6849745133810929,0.02923416930219621,141.06205946499497,71.8605491092956
SNM10072,3647.0,2021-09-17,entirely_within,2021-09-07,17:32:14.1468795Z,9.269280717592592,8,8,0,8,0,0.04083237933974358,0.06415402772101769,0.08079986368548582,0.3078386424554096,0.2881260147651126,0.053269165087997374,0.0365587483047037,0.0221074990236886,0.08978123908613438,-0.6132998598046666,-0.5953614569782568,0.04058426220255494,138.80944954984807,59.60460159714027
SNM10082,3647.0,2021-09-18,entirely_within,2021-09-08,18:28:11.9895040Z,9.230416793981481,1,1,0,1,0,-0.022467641405459513,-0.022467641405459513,0,0.3722069431711902,0.3722069431711902,0,0.10150343229517285,0.10150343229517285,0,-0.6370182327999837,-0.6370182327999837,0,76.0630780089154,
SNM10096,3647.0,2021-09-24,entirely_within,2021-09-23,17:30:24.7340697Z,0.2705470601851852,43,43,1,0,0,-0.10081520246212047,-0.10169794940992367,0.023448707151366113,-0.16550875062853151,-0.16761451763002777,0.03488507131721784,0.239183544504448,0.2321852392564983,0.06800956381033572,0.08442186401661365,0.08489783060417155,0.01132199496216815,108.77786299380875,45.78627301291628
SNM10097,3647.0,2021-10-01,entirely_within,2021-09-07,17:32:14.1468795Z,23.269280717592594,3,3,0,3,0,-0.005327622318093253,-0.01587704410994984,0.030899818909387842,0.28473177029183416,0.27124544541090256,0.05731329242077959,0.07021113456356161,0.04506388203401375,0.03970990499081309,-0.6023119916340539,-0.5984530140195605,0.025554302822220747,55.37723029487997,51.48992375310478
SNM10115,3647.0,2021-10-01,entirely_within,2021-09-23,17:30:24.7340697Z,7.270547060185185,2,2,0,2,0,-0.14161934142765312,-0.14168488885111385,0.0007163396992496241,0.018001523836483273,0.01718622856982521,0.008910012557048867,0.35211687752250687,0.35336046194816273,0.01359060122323947,-0.024889334843836267,-0.025193075898801515,0.0033194558149773597,49.06392120755379,32.92717083931101
SNM10135,3647.0,2021-10-02,touching_perimeter,2021-09-23,17:30:24.7340697Z,8.270547060185185,4,4,0,4,0,-0.1051151901020981,-0.04741423932991387,0.06871852351663957,0.17575992404194907,0.19425402336049893,0.05231140625978237,0.1393431753836029,0.040700709306967224,0.12537532670477336,-0.19264642890763217,-0.21286132209667458,0.06381029960912324,67.72060961733087,33.752542041104924
