Site,ID,SampleDate,Latitude,Longitude,SoilC.kg.m2,SoilN.kg.m2,Roots.kg.m2,percentC,percentN,NDWI_June,EVI_June,SAVI_June,BSI_June,NDPI_June,NDGI_June,NDWI_Sept,EVI_Sept,SAVI_Sept,BSI_Sept,NDPI_Sept,NDGI_Sept,dBlue,dGreen,dRed,dNIR,dSWIR_1,dSWIR_2,dNDVI,dNDWI,dEVI,dSAVI,dBSI,dNDPI,dNDSI,dNDGI,Cdef,Elevation,AET,Flow,Slope,SWE,Annual_Precipitation,Snow_days,Wet_days,Active_growth_days,Minimum_temperature,Maximum_temperature,SRad,Shallow_Clay,Deep_Clay,Shallow_Sand,Deep_Sand,Shallow_Hydra_Conduc,Deep_Hydra_Conduc,Lithology,Organic_Matter,ModisNPP,LandsatNPP,Root_Turnover,Root_Exudates,BNPP,Model_ANPP,Model_BNPP,Model_Rh,Model_NEP
Alkali Flat,A10,2016-07-08,40.09414684,-120.3433888,7.890251686,0.767969937,1.096108377,2.545078331,,0.2283783330371607,0.370297490547544,0.3602411674076864,-0.1588486304359788,0.584814645467535,0.3994831957097085,-0.1395751045532945,0.2133469758062419,0.2272965003299054,0.1874994106807772,0.2327648954986653,0.0898157178214057,6.778155098505437,12.094219084012682,14.52014408514492,49.90614369225544,41.8378410643116,23.88961056838768,114.23401534445428,25.92904528277048,62.29082127647997,64.42478870719818,-8.383258225678894,96.62719834083607,-104.9697679793615,55.8875184568404,841.6,1744.51611328125,284.7,544,0.9712402652134352,0,620,109,0,106,276.4149780273437,288.2547912597656,29787.310317993164,14.275535583496094,21.248214721679688,55.34336853027344,47.59733581542969,4.177421141662854,1.680021158195841,19,0.7725999083837736,636.1,760.0,81.31233575098764,145.00198497657598,226.31432072756365,39.96986475551539,558.5096633741355,555.5533825758998,42.926145553750985
Alkali Flat,A12,2016-07-08,40.0937404,-120.3429252,16.89787466,1.647039699,3.52153968,3.341528816,,0.2494241819522841,0.4044203222024964,0.3896321069518036,-0.1801858615152305,0.605929317031719,0.424416738030032,-0.1311438118764346,0.2125115220283316,0.2244259348689061,0.1786044333673123,0.2394558654741214,0.0873527306953104,6.848232004690734,13.08887728412914,15.25862907210792,55.01711807045808,43.37821443633541,24.681836469364647,128.0213694793231,32.2032416979378,69.66156374751297,72.06443261483088,-10.141418754113287,108.14178281111629,-114.33445704049768,66.85096452975475,840.8000000000001,1744.8721923828125,284.6,579,0.2248437901896323,0,620,83,3,114,276.4124755859375,288.2515869140625,29786.80450439453,15.55079746246338,20.43114852905273,49.17233657836914,50.18122482299805,3.737047863837214,1.773800526844299,19,0.7653877276609137,653.5,802.7,261.237504273344,501.0164933529599,762.2539976263039,63.11126352382249,457.8550943358432,457.12153146637,63.84482639329565
Alkali Flat,A2,2016-07-08,40.09496072,-120.3445544,12.29394366,1.07403893,1.282680016,3.992258893,,0.194133209710058,0.3574418207154361,0.3473519320417646,-0.1238586544220248,0.5450283851621053,0.3612073013934332,-0.1413556307725745,0.1993721413457675,0.2106923490263833,0.1878673927404532,0.216846778278699,0.073349005776958,8.370463429209035,14.58242428887623,17.528604078034906,51.81568113028625,44.20533100554435,26.05330751536446,115.04503574496653,26.17555847503536,60.05057030770473,62.66130285050343,-2.9765466084402488,98.36072814013588,-107.07616346552652,51.75904817903583,842.2,1743.26513671875,284.7,357,1.8821371041394264,0,619,77,0,106,276.4139099121094,288.2601623535156,29788.07986450196,12.862887382507324,24.474395751953125,54.784461975097656,43.579856872558594,4.775860553031187,2.1885754947501512,19,0.8804562961118023,691.7,765.2,95.1527333524559,169.683173956608,264.8359073090639,70.88379792934673,554.9759981588447,583.4421022584304,42.41769382976111
Alkali Flat,A3,2016-07-08,40.09507086,-120.3448771,13.85880977,1.079776448,2.68779767,5.830496018,,0.180914655731295,0.352520559722595,0.3431168320554559,-0.1101527529477166,0.5337081118673862,0.3473122165508282,-0.1248385235263548,0.2046177753747724,0.214851281990422,0.1731952616410198,0.2260687878295825,0.0823756065043191,8.68183436480978,14.942345127620342,17.88168165987319,51.30050951631513,43.5434125614648,25.977955126757674,107.60650109765815,24.847124609992548,58.25398899345413,60.51100263667075,-2.3253939359321127,92.20249582330672,-99.71476963025576,46.87386985650528,842.2,1743.0731201171875,284.6,341,2.046252333136566,0,618,90,0,109,276.4120483398437,288.2611389160156,29788.209747314453,10.023250579833984,12.488630294799805,65.63603210449219,62.87337875366211,6.009328407672157,4.464637207781132,19,1.896762397469536,706.8000000000001,730.7,199.38822762392076,365.62649264544,565.0147202693606,36.28351991703924,883.6135233992721,716.0792192315132,203.8178240847982
Alkali Flat,A4,2016-07-08,40.0953105,-120.3446953,15.69134828,1.18157852,6.244319532,6.484964534,,0.1229404457677171,0.3335555420319796,0.3263103225351919,-0.0562102899415569,0.4838501700671876,0.296958304110518,-0.166063612838948,0.1842999820951638,0.1942459801648221,0.2064380977608262,0.1876435436213044,0.0495116265512554,9.264408521987145,16.122540446051158,19.82167694207212,57.32364358205013,47.406597451367325,27.84253841469332,112.6264792324084,28.808417979832043,63.4783353905347,66.1348574553341,-6.543057330777219,97.8119355581172,-103.97119232170454,50.687631875826185,842.4000000000001,1744.8507080078125,284.5,335,2.79649520294474,0,618,80,0,98,276.4136047363281,288.2620544433594,29788.33860778809,12.757146835327148,23.18847846984864,59.06999206542969,43.0037727355957,4.282498089460653,1.970736230958028,19,1.5248074569631778,716.1,549.0,463.2208064243578,763.705256041728,1226.9260624660858,57.01205125898191,699.3089048857223,690.9444994773135,65.37645666739081
Alkali Flat,A6,2016-07-08,40.09508595,-120.3440463,9.86958903,0.954303892,11.15348578,3.689209232,,0.2294671468101639,0.4061606413401095,0.3891198235899029,-0.1590266119257883,0.5858210116855113,0.395950806693135,-0.1519732216711642,0.1930378539173138,0.204134231933099,0.1962122680489433,0.2049157737472218,0.0638083499828334,9.035066863893205,15.459889409776135,18.502400251412617,56.55499163787526,45.035755150103526,25.913458602861887,114.48748459778248,29.89862076096076,65.40451790778877,67.21801081986669,-8.661628911112745,99.61307492354516,-104.44405863432986,53.98845829569592,842.1,1743.533203125,284.7,388,0.6574924834545177,0,619,95,0,102,276.4176025390625,288.2581787109375,29787.820053100582,8.029777526855469,12.47396183013916,72.63125610351562,67.10090637207031,7.125577021413094,5.0546296058601365,19,1.5492926741560318,696.8000000000001,575.5,827.3962680765337,1419.7941258508802,2247.190393927414,38.35114182255303,291.62861982508707,588.4292309521948,-258.44946930455467
Alkali Flat,A8,2016-07-08,40.09377879,-120.3434385,10.61331012,0.773036736,5.066586063,4.270035471,,0.225266722844242,0.3636965457642444,0.3543957838602217,-0.1611664647725769,0.5832168369943657,0.4128993896098316,-0.1439410948920064,0.2108921104926696,0.224980332177199,0.1915861515175391,0.2243319895910923,0.0825020540559287,6.817695750517597,11.85337973198111,14.449106453319096,47.8020219335533,42.15869301646609,24.331055974702373,111.269097620674,20.48587749960064,59.28917340394245,61.56771223546703,-3.695254605958056,92.29602684224986,-107.50629273835858,52.80370356492192,841.0,1744.39453125,284.40000000000003,582,1.3063337465307483,0,620,107,0,99,276.4120178222656,288.2532043457031,29787.057662963867,16.346763610839844,23.4893741607666,46.8901481628418,45.30620574951172,3.346528634327439,1.6835331820066792,19,0.853095097471585,623.6,759.1,375.8532967273642,625.9868412557759,1001.84013798314,36.56668311379692,508.3908589787636,637.70787510713,-92.75033301456948
Alkali Flat,A9,2016-07-08,40.09397417,-120.3436658,8.970592926,0.718835257,1.375965836,3.149222428,,0.2229776483252518,0.339536823553782,0.3342493379150432,-0.1535678011276918,0.5701047731780716,0.3908572778752486,-0.1213426437562568,0.2099577956379792,0.2242776952783783,0.1756102388105378,0.2427771123317477,0.0869768737312799,6.875376567837732,12.033768875679346,14.479956569455224,46.59519586633024,39.79049256567029,22.911700587150623,109.56404718936956,22.40314428119202,57.42638993157576,59.82585058793318,-4.869745489019647,92.57570237839889,-103.82312883773824,51.23685863189691,841.2,1743.779541015625,284.6,535,1.448004762299786,0,620,106,0,97,276.4115905761719,288.2548828125,29787.311737060547,16.499547958374023,23.03982734680176,46.80789566040039,44.98111724853516,3.281478260502753,1.6451603514958066,19,0.896092764935146,644.6,709.4000000000001,102.0729321902814,166.56892024281603,268.6418524330974,24.37222073562241,233.0895779997764,629.516489561388,-372.0546908259892
Big Flat,F1,2017-08-02,40.1495622,-120.45974,15.33807677,1.084178777,5.748738617,7.314677914,,0.2878632174446192,0.5103237905674837,0.4730981207750828,-0.2262827115830848,0.6507362335215473,0.4848427435926111,-0.08888757054194,0.2472407897467011,0.2577791860799784,0.1410962991148862,0.2913869452496076,0.1269288189911313,7.1863012992216095,12.134197624771064,12.860519717261903,56.052565429830594,39.04093423191392,21.406241124656592,124.10132576504328,39.29143555753196,77.6883127182578,75.7215578025118,-23.681072307944618,108.3314092784696,-101.0375790521837,72.55219941388474,732.5,1739.162109375,343.6,66,1.7864569480776342,0,814,93,1,123,276.58233642578125,286.74078369140625,29318.98742675781,17.790485382080078,25.693134307861328,43.39558410644531,40.5898551940918,2.707660874695164,1.853500744080374,5,1.1132623979181635,655.5,579.7,426.4572503765952,882.4543726639679,1308.911623040563,66.97821531668319,311.99829924339053,563.0792056133496,-184.10269105327583
Big Flat,F11,2017-08-02,40.14825848,-120.4612667,13.05454009,0.995118219,11.67238814,6.720418624,,0.3300109351327154,0.5511370500288941,0.5042462858678999,-0.263309806218263,0.6842943604487888,0.5109989805807184,-0.0594417753760015,0.2746753491174206,0.2822607960162324,0.1110695065447378,0.3437350813983846,0.1709414966768682,7.932532075004956,13.354998118158338,13.509551397845907,64.04491281088939,41.06127504106371,21.65866712140985,132.21350810077325,44.30614666573706,89.44597405534688,85.25009054814586,-29.18679634123629,116.48604603197374,-104.74045478765672,80.1209649537332,731.6,1738.113525390625,343.5,89,2.221866860317137,0,815,83,1,146,276.5684814453125,286.7443542480469,29318.78550720215,16.338520050048828,22.12997817993164,43.42569351196289,50.10792541503906,3.5900303193531,2.183812603069789,5,0.9189372253450844,640.5,603.2,865.8898730919252,2126.80249821312,2992.692371305045,57.604294624408425,255.0197880669756,531.5383540450986,-218.91427135371453
