UniqueID,CalFireID,Relationship,FireYear,ANPP_Slope_Bfr_Fire,ANPP_Mean_Bfr_Fire,ANPP_Std_Bfr_Fire,ANPP_Slope_Aft_Fire,ANPP_Mean_Aft_Fire,ANPP_Std_Aft_Fire,BNPP_Slope_Bfr_Fire,BNPP_Mean_Bfr_Fire,BNPP_Std_Bfr_Fire,BNPP_Slope_Aft_Fire,BNPP_Mean_Aft_Fire,BNPP_Std_Aft_Fire,Rh_Slope_Bfr_Fire,Rh_Mean_Bfr_Fire,Rh_Std_Bfr_Fire,Rh_Slope_Aft_Fire,Rh_Mean_Aft_Fire,Rh_Std_Aft_Fire,NEP_Slope_Bfr_Fire,NEP_Mean_Bfr_Fire,NEP_Std_Bfr_Fire,NEP_Slope_Aft_Fire,NEP_Mean_Aft_Fire,NEP_Std_Aft_Fire
SNM7169,1147,entirely_within,2021,0.6413028442192554,106.49145484460303,45.72098817668557,11.841369818119343,110.17915694036189,26.531775047186088,2.1639695741976417,847.1151490488135,170.01498306240242,48.068756202947775,868.5552867436078,131.51444289098433,0.5949823424961368,627.3486458138948,88.91759971015838,31.7099990037518,735.0639878502697,55.74808815893707,2.2102900759207613,326.25795807952164,208.7301519678732,28.200127017315296,243.6704558337,104.19535182907713
SNM505,1152,entirely_within,2021,2.265735136642792,135.56992896796578,78.18997216923869,-19.500833421870368,151.81841413186987,58.50125777545323,2.9278390986714133,819.4632538980462,157.77207774774556,-61.697146961362684,712.3352350319639,67.84148810716442,2.8726502595452206,427.0946879973092,55.450446939941486,33.32039094585125,465.6663939657822,35.13452269058716,2.32092397576899,527.9384948687027,192.744669053499,-114.51837132908446,398.48725519805174,135.39099248775742
SNM7630,1147,entirely_within,2021,-0.47633085899792627,57.89988645530824,60.18279779652826,-13.56267415672181,87.47543880495594,14.474580082178916,3.963198176775392,751.6298941315667,146.33603293078326,-2.698675012553828,769.4447947292283,132.79376258384931,3.3318738118882334,248.413504881663,58.058075670612176,7.344852948141009,319.0805862252593,23.677121105039785,0.1549935058892314,561.1162757052122,150.67629766059528,-23.606202117416583,537.839647308925,107.81682446488412
SNM4446,1535,entirely_within,2020,-0.7005713681422954,81.85138622206127,41.97454650870232,-6.748766693735289,55.11281758172523,20.20053519127193,2.2428621621772393,865.2484441468332,237.57713989143866,-130.18411859010268,804.4109817087264,195.56904108136885,-0.03115239056079729,309.59753252243394,59.51074330083964,2.433261698963213,282.8593634428746,38.28756976302831,1.573443184595741,637.5022978464605,255.5938828640752,-139.3661469828012,576.6644358475769,202.97078359391978
SNM2023,1535,entirely_within,2020,0.22966174004213044,99.09730219801571,60.21680084961054,-23.958681439714624,79.01311194839263,46.35783476284932,0.957905362607227,932.4967698294664,241.19138251906617,-109.73922212120847,896.824906851756,200.62457936670637,-0.2985002778529283,367.4202693451445,52.386326709633614,7.798812257058304,363.1151828757662,26.874453983522223,1.4860673805022844,664.1738026823377,268.73929543313983,-141.4967158179814,612.7228359243824,237.62128638141053
SNM7153,1147,entirely_within,2021,-0.2528503901837883,116.06137910032753,36.07230167562782,-6.462464471248735,84.82128078153488,11.063628778750132,-0.6482241695566362,910.4825236579954,232.8570476152934,-106.44641158102093,1101.3817651672568,218.18324127561908,2.1398184676312706,589.4322473167801,78.34382803917205,12.883182698379098,630.2007175535945,12.981373046294067,-3.040893027371696,437.1116554415428,244.62257501096727,-125.79205875064896,556.0023283951971,234.445797199787
SNM15390,1145,entirely_within,2021,1.3352806104088537,162.08761337714526,76.03179846130936,87.3976535852879,171.99094581241243,107.34646339467102,1.3488447890886384,697.9967062622579,117.0133053138684,31.30902523875252,636.30272940171,36.37084436048129,-0.1202790126601217,414.1153133423913,53.025937254909344,31.318623035295886,502.0860214517414,56.14546856901535,2.804404412157617,445.9690062970118,147.05851285578717,87.38805578874457,306.2076537623811,125.74681762722216
SNM846,2787,entirely_within,2017,1.0109998948518852,85.68931089980758,43.11164479535185,-9.485630009565329,94.95533314211593,42.12185881502603,-0.2867363924472902,718.807520904008,136.76980289696832,17.445361119144273,713.9059302556387,194.75530676331255,1.6266535616138464,184.95200363733915,34.91464720969033,16.909395708717753,268.6978136831846,61.361491462697366,-0.9023900592092539,619.5448281664763,168.99576687393167,-8.949664599138753,540.1634497145701,259.2629812560113
SNM1658,1535,entirely_within,2020,0.043764538929243056,100.76055931869315,49.90106019812581,-25.87175547838891,122.82808927158783,77.52748145545131,3.6520053517515154,889.8587431096385,232.88691197586724,-115.74448925908239,911.5531108795296,217.03380462298372,1.3236602655530512,537.5237945838637,87.46438049659761,27.172516955818736,627.5980390055213,92.1371082899082,2.372109625127703,453.0955078444678,216.7957171569742,-168.78876169329007,406.7831611455962,264.8933252490936
SNM5732,8993,entirely_within,1996,1.9838882341853408,136.5310430677367,47.25729432099256,-0.029809124666971495,132.61136281969308,26.53994197643631,-9.053718916861929,818.0301356026812,194.3597501933753,0.15884935052936128,882.458206775729,92.96807901365874,8.632440934630699,735.4397810188029,100.92143497263793,-1.2849897772720777,741.3663746994027,78.99590843188965,-15.702271617307295,219.12139765161479,187.77703445865268,1.4140300031344768,273.7031948960194,99.07979480957236
