ID,Site,SampleDate,Latitude,Longitude,SoilC.kg.m2,SoilN.kg.m2,Roots.kg.m2,percentC
F11,Big Flat,8/2/2017,40.14825848,-120.4612667,13.05454009,0.995118219,11.67238814,6.720418624
F12,Big Flat,8/2/2017,40.14845227,-120.4610242,13.75530921,0.996136717,6.967284633,7.042700678
F2,Big Flat,8/2/2017,40.14931435,-120.4599129,14.46804084,1.088486382,9.503492846,6.704453258
F4,Big Flat,8/2/2017,40.14893163,-120.4597987,7.049353631,0.472454035,3.265003677,6.164761664
F5,Big Flat,8/2/2017,40.14916884,-120.4596047,10.69430278,0.794952038,8.745545564,4.44421177
F8,Big Flat,8/2/2017,40.14846073,-120.4615125,10.39102751,0.842214437,6.384248261,3.749124761
F9,Big Flat,8/2/2017,40.14824959,-120.4617603,6.850823778,0.456503388,7.177177726,3.438585188
CV1,Clover Valley,6/20/2016,39.9614702,-120.4134275,8.407014805,0.577489629,0.816250919,2.777181493
CV10,Clover Valley,6/20/2016,39.96291071,-120.4135297,6.898781024,0.492419629,2.390449121,2.109168327
CV12,Clover Valley,6/20/2016,39.96250327,-120.4139947,7.066865309,0.51572179,0.641340008,2.139331087
CV3,Clover Valley,6/20/2016,39.96197512,-120.4131519,7.178125312,0.472916094,0.991161831,2.369081469
CV5,Clover Valley,6/20/2016,39.96180673,-120.4136264,5.794871479,0.424686886,0.699643645,1.962839057
CV8,Clover Valley,6/20/2016,39.96253445,-120.4134874,3.467868004,0.245200926,2.052446308,0.891963192
Y1,Coyote Flat,7/8/2016,40.110052,-120.4172487,8.305925057,0.564858338,1.148581651,3.845681657
Y10,Coyote Flat,7/8/2016,40.11158656,-120.4194028,14.28796483,0.960706337,1.387626562,4.901825734
Y12,Coyote Flat,7/8/2016,40.11144239,-120.41871,8.812512678,0.638887621,4.209522598,3.396050347
Y3,Coyote Flat,7/8/2016,40.11012996,-120.4179603,9.257846305,0.683473766,0.198232366,3.128969005
Y4,Coyote Flat,7/8/2016,40.11039759,-120.4178613,11.00853475,0.769514109,0.437277278,3.85041122
Y6,Coyote Flat,7/8/2016,40.11030765,-120.4171755,8.821579661,0.628496516,0.256536003,3.221724955
Y7,Coyote Flat,7/8/2016,40.11120024,-120.4188502,7.815537735,0.562677568,0.227384185,2.923939731
Y9,Coyote Flat,7/8/2016,40.1113419,-120.4195474,9.613114377,0.695717844,0.40812546,2.891618919
X1,Dixie,7/18/2016,39.93496503,-120.333205,7.765580811,0.481508343,6.099675371,3.089765628
X10,Dixie,7/18/2016,39.93350197,-120.332292,9.552680471,0.698334103,1.422608745,3.891345089
X11,Dixie,7/18/2016,39.93341303,-120.332613,9.507988668,0.674649691,1.591689293,3.368671738
