ID,Site,SampleDate,Latitude,Longitude,SoilC.kg.m2,SoilN.kg.m2,Roots.kg.m2,percentC,Blue,Green,Red,NIR,SWIR_1,SWIR_2,peak_date,Driver,Cdef,Elevation,AET,Flow,Slope,SWE,Annual_Precipitation,Snow_days,Wet_days,Minimum_temperature,Maximum_temperature,NIR_Green,NIR_Red,NDVI,NDWI,EVI,SAVI,BSI,NDSI,NDPI,dBlue,dGreen,dRed,dNIR,dSWIR_1,dSWIR_2,dNDVI,dNDWI,dEVI,dSAVI,dBSI,dNDSI,dNDPI,L1_Clay,L2_Clay,L3_Clay,L4_Clay,L1_Sand,L2_Sand,L3_Sand,L4_Sand,L1_Hydra_Conduc,L2_Hydra_Conduc,L3_Hydra_Conduc,L4_Hydra_Conduc,L1_Organic_Matter,L2_Organic_Matter,L3_Organic_Matter,L4_Organic_Matter
D13,Clover Valley,2019-06-28,39.95544474,-120.4263173,0.0,,6.468788535,0.0,0.0375175,0.0648524999999999,0.05003,0.345215,0.18951,0.0954875,2019-06-13,LANDSAT_8,6878,1669.9324951171875,3807,425,0.5889751745541364,0.0,968,115,0,273.6579895019531,302.5614318847656,5.323079295324006,6.9001599040575625,0.7468405672431023,0.2911870587685258,0.5410227719478634,0.4945880736558148,-0.2301122096830568,-0.4900781365177651,0.662699944587104,10.972942589285712,17.632127172619047,21.62705790178571,61.23615860119048,55.156379375,31.196484494047617,108.6876065368182,13.849919907904034,68.63570596095997,68.50616742189939,2.011830048564094,-114.6525671156541,92.11946330701052,25.13924217224121,15.742758750915527,25.930496215820312,23.747207641601562,36.028263092041016,59.4578857421875,37.406898498535156,43.16845703125,0.1476108431816101,0.6743888258934021,0.153394415974617,0.13924190402030945,0.40668991208076477,-0.2828127443790436,0.2921099364757538,0.049603309482336044
D14,Clover Valley,2019-06-28,39.95047473,-120.4264405,0.0,,4.681782059,0.0,0.0406525,0.0662275,0.05575,0.3077325,0.2012525,0.1122075,2019-06-13,LANDSAT_8,6857,1667.8065185546875,3814,1,0.4089227910115143,0.0,974,95,0,273.61480712890625,302.6881103515625,4.64659695745725,5.519865470852016,0.693245204377102,0.209200664066721,0.4710521174982778,0.4377318011656287,-0.1509487724804361,-0.504804097502617,0.5849273209625574,13.043173944220433,19.96044212802419,25.539166252352157,58.98278923319892,60.35563695161291,36.84161094926076,92.16292881214817,-0.5685557017414957,57.73324737469187,57.9552736928068,16.71275854047582,-113.44193185468248,73.42222081660927,23.820037841796875,20.779024124145508,20.6728515625,19.994632720947266,32.98184585571289,49.82587432861328,41.16080093383789,44.282649993896484,0.36874523758888245,0.5199007987976074,0.4211609959602356,0.4357041120529175,0.2577246129512787,0.00027859583497047424,0.23512671887874603,0.18799804151058197
DHA,Deer,2019-09-07,39.42866637,-120.6508363,13.32247575,,5.54443652,28.48802663,0.0299274999999999,0.04937,0.0325949999999999,0.458405,0.1662175,0.0680974999999999,2019-07-23,LANDSAT_7,4091,1879.688232421875,6529,2,1.1740039397830635,68.19795989990234,2299,180,6,272.3036804199219,300.29119873046875,9.285092161231518,14.063660070562976,0.8672301425661915,0.4677825406545552,0.7446736882604723,0.6445156407669022,-0.4213375633963719,-0.5419957093987361,0.8096561710516992,5.678218486463133,9.550987884504607,10.648645442108297,51.95197481710829,34.15177646457373,17.79145430299539,115.61589545351995,42.43812756299774,73.97192400781324,71.14034762736907,-28.604613119103732,-92.3590183517006,102.48994651400275,6.854593753814697,3.583660364151001,6.035943508148193,6.044111251831055,69.65655517578125,76.09658813476562,72.144287109375,72.10465240478516,1.1277337074279785,0.08662955462932587,0.786203920841217,0.8055469393730164,0.8948513269424438,-0.3025468587875366,0.49003297090530396,0.17445668578147888
LHA,Loney,2019-08-22,39.42058534,-120.6555018,14.55996173,,5.944541665,18.69627342,0.0262425,0.0499475,0.03089,0.4138274999999999,0.152275,0.0682625,2019-07-15,LANDSAT_8,4064,1818.39501953125,6642,27,0.306176698390414,51.478214263916016,2323,169,1,281.0863342285156,303.3504943847656,8.285249511987585,13.396811265781803,0.86108034876073,0.4620232201765581,0.6826716606692879,0.6080190639000547,-0.4122120869335001,-0.5060144148153642,0.7947187253746736,4.8603509375,9.819243749999998,9.675515,51.5363071875,30.09955875,15.82749875,129.6402010324449,53.94971002376598,75.62924216777296,74.89342895547779,-33.802273338451684,-91.3855637836377,117.0340395165694,7.730256080627441,5.128288269042969,7.475106239318848,7.68231725692749,72.57769012451172,77.78059387207031,72.47020721435547,72.03763580322266,1.4789528846740723,0.5126636028289795,1.1231141090393066,1.0427680015563965,0.8162962198257446,-0.20530129969120026,0.504392683506012,0.2649383544921875
R25,Clover Valley,2019-06-28,39.94547401,-120.4271855,0.0,,5.261903248,0.0,0.0326225,0.0591599999999999,0.0495625,0.3170825,0.1936625,0.0999424999999999,2019-06-20,LANDSAT_8,6834,1667.086669921875,3823,265,0.1375313767130378,0.0,978,110,0,273.58416748046875,302.8405456542969,5.359744759972956,6.39762925598991,0.7296431152749935,0.2416470058444037,0.4882504692785656,0.4630269602893918,-0.1795827500716779,-0.532003678470073,0.6310316394392974,10.659224196428571,16.75388943452381,21.078814107142858,53.54491486607143,53.39220245535714,32.1666887202381,90.0808401900036,2.52969165954926,55.72330657536365,56.28040953365405,10.939305060563852,-104.2401369777321,71.76637642138738,23.820037841796875,20.779024124145508,20.6728515625,19.994632720947266,32.98184585571289,49.82587432861328,41.16080093383789,44.282649993896484,0.36874523758888245,0.5199007987976074,0.4211609959602356,0.4357041120529175,0.2577246129512787,0.00027859583497047424,0.23512671887874603,0.18799804151058197
R26,Clover Valley,2019-06-28,39.941533,-120.4275425,0.0,,1.835106978,0.0,0.0252799999999999,0.053055,0.0363624999999999,0.3205199999999999,0.161405,0.0759624999999999,2019-06-20,LANDSAT_8,6817,1665.5596923828125,3828,187,0.3900319451947656,0.0,983,95,0,273.5625305175781,302.9479064941406,6.041277919140512,8.814575455482984,0.7962214454337211,0.3301654821808372,0.5265705899139793,0.4974267183657035,-0.2723350825794404,-0.5052224190991326,0.7126071815477422,11.188165839573731,17.593523786002304,21.12606179003456,57.87760770305301,51.42804018001152,30.19505692108295,113.35035655118396,16.589378153094817,67.27774312094101,66.64450976180103,1.641011771679972,-116.55646274934912,95.26294026954452,30.87940788269043,18.533565521240234,30.749183654785156,26.616914749145508,27.973852157592773,56.99935531616211,29.9392147064209,36.75196838378906,0.04119590297341347,0.6282587647438049,0.005241919308900833,-0.04646751657128334,0.5991432666778564,-0.364660382270813,0.3884999454021454,-0.004182925447821617
CP11,Calf,2022-08-03,38.938662,-120.291207,10.1390995,1.028584822,0.816250919,3.678366455,0.03386,0.059765,0.0460974999999999,0.323435,0.205955,0.1117949999999999,2022-06-29,LANDSAT_9,4849,2024.6436767578125,5531,58,2.5011839711788606,0.0,1027,159,0,284.16259765625,300.7082824707031,5.411779469589223,7.0163240956667945,0.7505090891870135,0.2219157898713613,0.5150874397319606,0.4784251882477078,-0.1727134352729764,-0.5501655878368207,0.6235091208349376,8.077571875,11.668515,12.882316875000004,44.286739375,42.42986375,24.725473750000003,109.95255389067606,0.3080108915167834,59.38829678240276,59.35248009094813,9.00568002187066,-119.38796309969878,81.37972883381936,7.3485894203186035,3.40541934967041,5.879481315612793,5.917115211486816,67.77141571044922,81.72431182861328,72.55205535888672,72.45289611816406,1.3770465850830078,0.5988112688064575,1.00447678565979,0.9581543803215027,1.0754246711730957,-0.3033399283885956,0.5857234001159668,0.35195812582969666
CP2,Calf,2022-08-03,38.93819798,-120.292089,4.766412229,0.570675008,3.165887494,2.256850316,0.0382325,0.0616349999999999,0.0614974999999999,0.304955,0.2422825,0.14067,2022-07-15,LANDSAT_9,4853,2023.5753173828125,5540,51,2.159868774561712,0.0,1031,159,0,284.2049560546875,300.7425842285156,4.947756956274845,4.958819464205864,0.6643630484169164,0.1145252289910688,0.4387582146361772,0.4214729024383911,-0.0609110967707033,-0.59439650563064,0.519879468232822,9.867808125000002,14.3660725,16.19516625,50.138292500000006,48.28680687499999,30.555013125,105.43354396866737,2.6765036578205983,62.27671839130909,61.780009887622754,8.533683186246659,-113.24877722985036,77.03936367307531,6.873411178588867,3.3572824001312256,5.608504295349121,5.612524509429932,73.67889404296875,83.81968688964844,74.86451721191406,74.22824096679688,1.4073578119277954,1.4026095867156982,1.128347635269165,1.1418567895889282,1.1234276294708252,-0.3143320083618164,0.2249218076467514,0.13379999995231628
CP20,Calf,2022-08-03,38.93820301,-120.292458,11.0476462,0.879324416,2.174725663,5.770869594,0.0405149999999999,0.065155,0.0695,0.2933775,0.246215,0.1477649999999999,2022-07-23,LANDSAT_8,4858,2023.2607421875,5548,48,1.763445990341192,0.0,1031,159,0,284.23974609375,300.7709655761719,4.5027626429284,4.221258992805756,0.6169506238331117,0.0874039205511566,0.3979294568490204,0.389181836355682,-0.0279822816085097,-0.581494684780165,0.4768038687778763,10.118478124999996,14.533011875,16.913611250000002,50.925542500000006,47.927238125,29.252153125000003,105.18790374556204,5.892046039607279,61.86108370905064,61.73188414177028,7.1831895766472735,-112.70873054353312,80.58364056322804,6.173828125,2.9326171875,5.486328125,5.536168098449707,75.56451416015625,83.71308898925781,76.09901428222656,75.533203125,1.5326695442199707,0.5205708742141724,1.0561494827270508,0.9660375118255615,1.171598196029663,-0.07424657046794891,0.5815392136573792,0.3645796775817871
WRS1,Wilson,2022-08-02,38.82695236,-120.255136,4.950168101,0.218463366,0.209893094,2.403092931,0.0315225,0.0602599999999999,0.0476099999999999,0.314525,0.2121425,0.120155,2022-07-15,LANDSAT_9,5165,2022.0740966796875,5691,13,2.149793563416875,0.0,985,148,1,285.26593017578125,301.311767578125,5.219465648854963,6.606280193236717,0.7370593839314069,0.1943968443087906,0.4892975610739744,0.4643965272260145,-0.1424480026411357,-0.5575664687365205,0.596351573435979,8.586370624999999,13.57280125,13.686486249999998,54.356916875,40.256773125,24.02412125,132.40553208726575,30.71293737260866,76.0019059834276,75.14431558698334,-14.292079742326422,-112.59871569444364,107.3054441701751,6.4663825035095215,3.0821545124053955,5.4983229637146,5.539203643798828,74.91990661621094,84.46758270263672,75.81015014648438,75.1825180053711,1.5888864994049072,0.7497676610946655,1.1081000566482544,1.0440000295639038,1.2647138833999634,-0.037135954946279526,0.48259198665618896,0.3365972340106964
